8/5q2/1p1P1k1p/p7/P3Q3/8/5PK1/8 w - - 2 48	194
r1br2k1/p4pp1/2p1p2p/2P5/2B1p2b/BP5P/P1P2PP1/1K2R2R w - - 2 18	512
4r3/8/R3p2B/1p1nP3/3K1pP1/1k3P2/8/8 w - - 6 50	106
r2qkb1r/pp2pppp/2n2n2/1N2P3/8/8/PP3PPP/RNBQ1RK1 b kq - 0 10	-254
6k1/1pp3pp/2npbr2/r1n2p1P/p1P5/P3PPB1/1PBNK1P1/R6R b - - 2 19	334
1k1rbr1q/ppn1pp1p/3p2p1/b1pP4/1nP1BPP1/2N1P3/PP2N2P/1K1RB1RQ w - - 1 13	509
bbr3k1/pn1pq1pp/1p2pr1n/8/P1PP4/5N2/B3NPPP/B1RQ1RK1 w - - 1 14	338
1n6/1P2p3/p7/P4P2/2p1P3/2k5/5K2/8 w - - 1 56	151
2b2rk1/r1q2pp1/p1p1p2p/1p2Q3/2PPB3/7P/PP3PP1/2KR2R1 w - - 2 18	264
r4rk1/ppq1ppbp/2n3p1/5b2/2P4Q/P1P2NP1/1P3PBP/R1B1K2R b KQ - 3 13	252
8/1p6/1kp5/p1np2qp/P2Np3/1P2P1P1/2PK3Q/8 w - - 0 42	-375
5k2/8/2Q5/6q1/pPN1pr2/2P5/PK5P/8 b - - 1 42	21
3nrrk1/1p1n2p1/2p3qp/p1bppN2/6P1/3P4/PPPBNP1Q/1K2R2R w - - 9 22	332
7r/Qp5p/2q1k1p1/3R1p2/1bP3n1/1PN1r1P1/PB5P/R5K1 b - - 4 24	103
r3k3/ppp5/3qb2p/4Qp2/3B1P2/5BPP/8/6K1 w - - 6 38	-449
8/p4kb1/1p1rrq1p/2p5/5N1P/1QPP2P1/PP3PK1/4R3 w - - 3 27	67
8/p1q2ppk/4p1np/2p1n3/Q7/P3BP1P/1r2PP2/3R1B1K w - - 1 33	-67
2b3kr/2p1qpp1/p2p4/1r1PbPP1/2Q5/1P5P/1P1BN1K1/4RR2 w - - 5 38	482
4r1k1/7p/1p2p2r/2p1q1p1/2P2NQ1/1P2P1P1/P4P2/3R2K1 w - - 4 39	-243
4r1k1/pp4p1/8/3pbr2/3P4/1P1K1p1P/P4P2/2R4R w - - 1 32	-42
8/8/6PK/p4R2/kp6/8/8/6r1 w - - 4 74	-194
7r/8/R5p1/4kp2/2pr4/5PK1/2R5/8 w - - 5 77	-538
1r3r1q/1p1kb3/1npp1n2/p4p1p/P4B2/1BPP2P1/1PK1N2P/1R3R1Q b - - 0 15	-523
3r1qk1/pp6/2b4p/2p3p1/4p3/2Q1P1N1/PP2P3/5R1K b - - 6 41	26
r2qkbnr/p1p3pp/4p3/2p1PbB1/3p3P/2N2Q2/PPP2PP1/R3K1NR b KQkq - 1 10	88
1rb1kn1r/2q1ppbn/pp1p2p1/2pP2P1/P1P2B1P/2N2N2/1PQ1P1B1/R4RK1 b k - 2 16	-408
2b1kb1r/4pppp/1p3n2/8/P7/3P2P1/1P2PP1P/R1B2RK1 b k - 0 18	-301
