fen	coda_cp	opp_cp	outcome
8/3rn1k1/6p1/1P1p1p2/2R4p/4PB1P/6P1/6K1 w - - 0 45	195	79	0.5
8/1r2n3/5kp1/1P1p1p2/7R/4PB1P/5KP1/8 w - - 3 47	257	86	0.5
2n5/1r6/6p1/1P1pkp2/1R6/4P2P/4BKP1/8 w - - 7 49	177	78	0.5
2n5/7r/8/1P1pkpp1/R7/3BP2P/5KP1/8 w - - 0 51	206	82	0.5
6R1/7r/3n1k2/1P1p1pp1/8/3BP2P/5KP1/8 w - - 4 53	202	73	0.5
r4rk1/6p1/pp1p1q2/2pP1b1P/P1Pb1P2/1P3N2/3BQ1RK/4R3 w - - 0 21	222	96	0.5
r5k1/4Rrp1/pp1p4/2pP1b1P/P1Pb1P2/1P3N2/3B2RK/8 w - - 1 23	239	91	0.5
r5k1/4Rrp1/pp1p4/2pP1b1P/P1Pb1P2/1P3N2/3B2RK/8 w - - 5 25	208	93	0.5
r5k1/5rp1/p2p4/1p1P1b1P/P1Pp1P2/1P6/3BR1RK/8 w - - 0 27	183	87	0.5
2r3k1/5rp1/3p4/Pp1P1b1P/3p1P2/1P6/3BR1RK/8 w - - 1 29	180	67	0.5
r4rk1/1p2nbp1/3q1p1p/p2p1p2/P2P1P2/1NP1P3/2QN2PP/R1R3K1 b - - 3 15	225	137	0.5
r1r3k1/1p2nbp1/4qp1p/p2p1p2/P2P1P2/1NPQP3/6PP/R1R2NK1 b - - 7 17	285	145	0.5
r5k1/2r1nbp1/1p2qp1p/p2p1p2/P2P1P2/2PQP1N1/3N2PP/R1R3K1 b - - 3 19	265	152	0.5
4r1k1/2r1nbp1/1p2qp2/p2p1p1p/P2P1P1P/2PQP1N1/6P1/RNR3K1 b - - 2 21	235	128	0.5
4r1k1/2r2bp1/1p1nqp2/p2p1p1p/P2P1P1P/N1PQP1N1/6P1/1RR3K1 b - - 6 23	247	133	0.5
6k1/2r2bp1/1R1n1p2/p2p1p1p/P2P1P1P/N1P1r1N1/6P1/2R3K1 b - - 0 25	224	114	0.5
6k1/4rbp1/3R1p2/pN1p1p1p/P2P1P1P/8/2r3PK/5R2 b - - 3 29	331	159	0.5
6k1/5bp1/3R1p2/pN1p1p1p/P2P1P1P/6K1/2r2rP1/6R1 b - - 7 31	349	173	0.5
3Rb1k1/6p1/5p2/pN1p1p1p/P2P1P1P/6K1/2rr2P1/6R1 b - - 11 33	441	218	0.5
4R3/4k1p1/3N1p2/p2p1p1p/P2P1P1P/6K1/2rr2P1/6R1 b - - 0 35	471	206	0.5
3R4/6p1/4kp2/p2p1p1p/P2P1P1P/6K1/2rr2P1/4R3 b - - 3 37	521	164	0.5
8/3R1kp1/5p2/p2p1p1p/P2P1P1P/7K/2r2rP1/4R3 b - - 7 39	388	0	0.5
4r1k1/3n1bp1/2p5/3p3p/1QnP1PP1/5P2/2q1N3/2B1RBK1 w - - 0 33	-217	-98	0.5
1r4k1/3nQbp1/2p5/3p3p/2nP1PP1/2q2PN1/8/2B1RBK1 w - - 4 35	-216	-104	0.5
1r4k1/5bp1/2p2n2/3p3p/2nP1PP1/5qN1/8/2BRQBK1 w - - 0 37	-219	-104	0.5
1r4k1/5bp1/2p2n2/3p3p/2nP1PP1/3R2N1/4B3/1qB1Q1K1 w - - 4 39	-178	-96	0.5
4r1k1/5bp1/2p5/3p2Pp/2nPnP2/3R2N1/4B3/1qBQ2K1 w - - 3 41	-183	-89	0.5
4r1k1/5bp1/2p5/6Pp/1qnPpP2/2R5/4B3/2BQ2K1 w - - 2 43	-198	-84	0.5
4r1k1/5b2/2p3p1/q5PB/2nPpP2/1R6/8/2BQ2K1 w - - 0 45	-197	-78	0.5
4r1k1/2q2b2/2pn2p1/6P1/3PpP2/R7/4B3/2BQ2K1 w - - 4 47	-143	-61	0.5
2r3k1/p4p1n/1p2b1pp/8/8/1PBBR2P/P4PP1/6K1 w - - 2 32	149	64	0.5
2r2nk1/p4p2/1p2b2p/6p1/8/1P1BR2P/PB3PPK/8 w - - 2 34	164	60	0.5
2r3k1/p4p2/1p2b2p/2n3p1/6P1/1P1BR1KP/PB3P2/8 w - - 3 36	148	57	0.5
3r2k1/pn3p2/1p2b2p/6p1/1P4P1/4R1KP/PB3P2/1B6 w - - 1 38	187	78	0.5
3r2k1/p4p2/1p2b2p/6p1/PPn3P1/6KP/1B3P2/1B2R3 w - - 1 40	212	72	0.5
6k1/p4p2/1p1rbB1p/6p1/PP3PP1/n5KP/8/1B2R3 w - - 1 42	148	59	0.5
6k1/p4p2/1p2b2p/6p1/PPn1BPP1/2B3KP/r7/4R3 w - - 7 45	198	84	0.5
6k1/p7/1p2bp1p/8/PPn1BKP1/2B4P/r7/3R4 w - - 0 47	200	83	0.5
6k1/p4b2/1p3p1p/8/PPn1BKP1/2B4P/5r2/R7 w - - 4 49	194	74	0.5
6k1/p4b2/1p3p1p/8/PPn1B1P1/2B3KP/8/4r3 w - - 0 51	183	79	0.5
8/p4bk1/1p3p1p/8/PP2B1P1/2B1n1KP/8/8 w - - 3 53	195	71	0.5
8/p5k1/1p3p1p/P2n4/1Pb1B1PP/2B3K1/8/8 w - - 1 55	190	82	0.5
8/p5k1/1p3p1p/P2n4/1Pb1B1PP/6K1/3B4/8 w - - 5 57	199	76	0.5
