fen	coda_cp	opp_cp	outcome
2b3k1/2r2pp1/1R5p/4p3/4P2P/1p4P1/4B3/6K1 w - - 0 43	-173	-89	0.5
2b2k2/5pp1/7p/4p3/4P2P/1R4P1/2r1B3/5K2 w - - 3 45	-182	-74	0.5
5k2/5pp1/7p/4p3/4P1bP/1R1B2P1/5K2/2r5 w - - 7 47	-202	-74	0.5
6k1/6p1/5p1p/4p3/4P1bP/6P1/1RB2K2/2r5 w - - 2 49	-195	-80	0.5
1R6/6pk/5p2/4p2p/4P1bP/1B4P1/5K2/2r5 w - - 0 51	-198	-59	0.5
5RB1/6p1/5p1k/4p2p/4P2P/6Pb/5K2/2r5 w - - 4 53	-177	-68	0.5
7R/6k1/5pp1/4p2p/4P2P/1B4Pb/5K2/2r5 w - - 2 55	-168	-65	0.5
3rk2r/p1p1npp1/2n5/1p2PbN1/2p4p/P3K1P1/PB2PPBP/R6R b k - 4 10	181	99	0.5
4k2r/p1p2pp1/2n5/1p1rPbN1/2p4p/P3KPP1/PB2P2P/R6R b k - 0 12	177	84	0.5
4k2r/p1p2pp1/8/1p2nbN1/2p4p/P3KPP1/PB2P2P/3R4 b k - 0 14	219	56	0.5
4k2r/p1p2pp1/8/1p3bN1/2n4p/P1B2PP1/P3PK1P/3R4 b k - 2 16	175	76	0.5
4k3/p1p2pp1/8/1p3bN1/2n5/P1B2PP1/P3P2r/3R2K1 b - - 2 18	176	81	0.5
4k3/p1p2pB1/3n4/1p3bN1/6P1/P4P2/P3r3/3R2K1 b - - 0 20	154	43	0.5
8/5pk1/4p2p/1Rb1P3/r3BP2/3P2PK/8/8 b - - 7 53	-138	-55	0.5
8/5pk1/4p2p/4P3/r3BPK1/3P2P1/1R3b2/8 b - - 11 55	-142	-56	0.5
8/r4pk1/4p2p/4P3/1R1bBPK1/3P2P1/8/8 b - - 15 57	-145	-62	0.5
3r4/5pk1/4p2p/4P3/1R1bBPP1/3P1K2/8/8 b - - 0 59	-153	-67	0.5
3r1k2/1B6/4pp1p/4P3/2Rb1PP1/3P1K2/8/8 b - - 1 61	-155	-50	0.5
3r1k2/1B6/4p2p/4P3/2R1K1P1/3P4/8/b7 b - - 0 63	-132	-37	0.5
5k2/8/2B1p2p/4P3/2RPK1P1/8/8/br6 b - - 0 65	-135	-32	0.5
5k2/8/2B1p2p/4P3/2RP2P1/4K3/8/b2r4 b - - 4 67	-158	-28	0.5
5k2/8/2B1p2p/4P3/R2P2P1/8/3K4/b4r2 b - - 8 69	-152	-30	0.5
1rqr2k1/2pnbppp/b4n2/Bp2p3/2P1PP2/6P1/PPN1QNBP/R4RK1 b - - 0 14	149	46	0.5
2qr2k1/2pnbppp/b4n2/4p3/2p1PP2/2B3P1/PrN1QNBP/R2R2K1 b - - 1 16	266	122	0.5
2qr2k1/2pn1ppp/b4n2/2b5/2p1PP2/2B5/PrN1QNBP/R2R3K b - - 0 18	272	149	0.5
2q1r1k1/2pn1ppp/br3n2/2b1P3/2p2PN1/2B5/P1N1Q1BP/R2R3K b - - 2 20	277	137	0.5
4r1k1/1qpn1ppp/1r3n2/2b1P3/2p2PN1/2B5/P1N3QP/R2R3K b - - 1 22	334	129	0.5
4r1k1/2pR1ppp/1r6/2b1P3/2p2Pn1/2B5/P1N3KP/R7 b - - 0 24	313	144	0.5
4r1k1/2pR1ppp/6r1/2b1P3/2p1KP2/2B5/P1N4n/R7 b - - 1 26	305	153	0.5
4r1k1/2pR1ppp/8/2b1P3/2p1KPn1/6B1/P1N5/R7 b - - 0 28	318	157	0.5
4r1k1/2pn1ppp/8/2b1P3/2p2P1B/5K2/P1N5/R7 b - - 1 30	353	178	0.5
4rnk1/2p2pp1/7p/2b1P3/P1p2P1B/5K2/2N5/3R4 b - - 0 32	387	186	0.5
1r3nk1/2p2p2/6pp/2b1P3/P1p2PNB/5K2/8/3R4 b - - 3 34	426	187	0.5
1r3k2/2p2p2/4n1pN/2b1PP2/P1p4B/5K2/8/3R4 b - - 0 36	422	208	0.5
5k2/2p2p2/4n3/P1b1PN2/1rp4B/5K2/8/3R4 b - - 0 38	488	222	0.5
5k2/2p2p2/4n3/P1b1PN2/r7/2p3B1/4K3/3R4 b - - 3 40	539	208	0.5
5k2/2p2p2/4n3/P1b1PN2/8/3K2B1/r1p5/2R5 b - - 1 42	536	273	0.5
5k2/2p2p2/8/P1n1PN2/1bK5/6B1/r1R5/8 b - - 2 44	651	303	0.5
4k3/2p2p2/8/P1n1P3/1K6/4N1B1/2r5/8 b - - 2 46	778	313	0.5
8/2Nk1p2/8/P1n1P3/1K6/6B1/8/2r5 b - - 0 48	823	309	0.5
8/5P2/2k5/P1n5/1K6/6B1/8/2r5 b - - 0 50	775	322	0.5
8/5P2/n1k5/P7/8/2K3B1/8/5r2 b - - 4 52	776	310	0.5
8/8/n1k5/P7/3K4/5r2/7B/8 b - - 3 54	788	309	0.5
8/8/2k5/P1n2K2/8/r7/7B/8 b - - 7 56	772	307	0.5
8/3n4/P7/3k1K2/5B2/r7/8/8 b - - 2 58	769	342	0.5
r7/3nB3/8/3k1K2/8/8/8/8 b - - 3 60	769	355	0.5
3B4/3n4/4k3/8/5K2/8/8/r7 b - - 7 62	776	335	0.5
8/3n4/4k3/6B1/4K3/r7/8/8 b - - 11 64	780	311	0.5
8/8/n3k2B/8/3K4/r7/8/8 b - - 15 66	741	295	0.5
1n6/5k2/8/2K5/8/r7/3B4/8 b - - 19 68	721	288	0.5
1n6/6B1/8/2K2k2/8/r7/8/8 b - - 23 70	710	287	0.5
1n3B2/8/4k3/8/3K4/7r/8/8 b - - 27 72	739	282	0.5
8/5k2/n2B4/8/4K3/7r/8/8 b - - 31 74	700	273	0.5
8/8/4k3/2B5/1n2K3/7r/8/8 b - - 35 76	662	267	0.5
8/2n5/1B2k3/8/3K4/7r/8/8 b - - 39 78	658	261	0.5
nB6/7r/4k3/8/3K4/8/8/8 b - - 43 80	636	252	0.5
n7/8/4k3/8/3K4/1r6/8/4B3 b - - 47 82	607	247	0.5
n7/8/4k3/2K5/8/4r3/3B4/8 b - - 51 84	594	231	0.5
n7/8/2K1k3/B7/8/1r6/8/8 b - - 55 86	593	231	0.5
n7/5k2/1r6/3K4/8/8/8/4B3 b - - 59 88	578	229	0.5
8/5k2/nr6/8/2K5/6B1/8/8 b - - 63 90	561	224	0.5
8/B4k2/n4r2/8/2K5/8/8/8 b - - 67 92	523	211	0.5
8/5k2/n7/8/2K5/8/3r4/4B3 b - - 71 94	524	200	0.5
8/5k2/n2K4/8/8/8/2r5/4B3 b - - 75 96	505	198	0.5
8/5k2/n2K4/8/8/8/2r5/4B3 b - - 79 98	478	172	0.5
4n3/5k2/8/B2K4/8/8/2r5/8 b - - 83 100	472	145	0.5
8/5k2/2r2n2/8/3K4/8/8/4B3 b - - 87 102	434	87	0.5
8/5k2/4r3/B7/2K3n1/8/8/8 b - - 91 104	350	0	0.5
r5k1/p2qnpb1/1pnN2pp/2rb4/5B2/Q4N1P/PP2BPP1/R3R1K1 b - - 2 14	204	90	0.5
4r1k1/p2q1pb1/1pn3pp/1Nrb1n2/5B2/Q4N1P/PP3PP1/R3RBK1 b - - 6 16	288	155	0.5
6k1/p2q1pb1/1pn3pp/1Nr2n2/2B2B2/Q4N1P/PP3PP1/4R1K1 b - - 0 18	329	176	0.5
6k1/p2q1pb1/1pn3pp/1N6/2r4n/Q4N1P/PP3PP1/2B1R1K1 b - - 3 20	374	76	0.5
6k1/p2q1p2/1p4pp/1N2R3/2r4n/Q6P/PP3PP1/2B3K1 b - - 0 22	181	57	0.5
6k1/N4p2/1p4pp/4R3/8/7P/PP3PnK/2r5 b - - 0 25	127	46	0.5
6k1/N4p2/1p4pp/8/5n2/1R5P/PPr2P1K/8 b - - 4 27	161	33	0.5
6k1/N4p2/1p4p1/7p/8/1R5P/PPr1nP1K/8 b - - 3 29	140	31	0.5
6k1/N4p2/1R4p1/7p/3n4/7P/PP3r2/6K1 b - - 1 31	102	7	0.5
6k1/N4p2/1R6/6pp/P2n4/7P/1Pr5/5K2 b - - 1 33	104	3	0.5
2rr1bk1/1bq2ppp/pp1ppn2/8/3NP1PP/PPN2P2/1BP1Q3/2KR3R b - - 2 14	10	-100	0.5
2rr1bk1/1bq2ppp/pp3n2/3ppNP1/4P2P/PPN2P2/1BP1Q3/2KR3R b - - 0 16	-222	-111	0.5
2rr1bk1/2q2ppp/pp6/3PpNPn/7P/PP3P2/1BP1Q3/2KR3R b - - 0 18	-229	-89	0.5
2rr1bk1/2q2ppp/pp6/3npNP1/2P1Q2P/PP3P2/1B6/2KR3R b - - 0 20	-179	-76	0.5
rn1q1rk1/p2bpp1p/1p3npb/1B1pN3/8/1QP1P3/1P1P1PPP/RNB1K2R w KQ - 4 6	124	44	0.5
r2q1rk1/p2n1p1p/1p2pnpb/1B1p4/3P4/1QP1P3/1P3PPP/RNB1K2R w KQ - 0 8	146	53	0.5
r4rk1/p1qn1p1p/Bp2pnpb/3p4/3P4/1QP1P3/1P3PPP/RNB2RK1 w - - 4 10	136	54	0.5
rn3rk1/p1q2p1p/1p2pnpb/1B6/2pP4/1Q2P3/1P3PPP/RNB2RK1 w - - 0 12	149	56	0.5
r4rk1/p1q2p1p/1p2pnpb/n7/2BP4/1Q2P3/1P1B1PPP/RN3RK1 w - - 3 14	155	56	0.5
r4rk1/p1q2p1p/4p1pb/p7/2BPn3/2Q1P3/1P3PPP/RN3RK1 w - - 2 16	155	71	0.5
r2r2k1/p1q2p1p/3np1pb/p7/2BP4/3QP3/1P3PPP/RNR3K1 w - - 6 18	170	67	0.5
r2r1bk1/p4p1p/1q1np1p1/p7/2BP4/Q3P3/1P1N1PPP/R1R3K1 w - - 10 20	187	63	0.5
r2r1bk1/p4p1p/Bq1np1p1/Q7/3P4/4P3/3N1PPP/R1R3K1 w - - 2 22	156	48	0.5
rr1q1bk1/p4p1p/B2np1p1/8/3P4/2Q1P1P1/3N1P1P/R1R3K1 w - - 1 24	163	57	0.5
Rb3rk1/5p2/2R3p1/1r5p/4P2P/5NP1/5P2/6K1 w - - 5 36	137	35	0.5
1b3r2/1r3pk1/2R3p1/7p/4P2P/5NP1/R4PK1/8 w - - 9 38	123	42	0.5
5r2/1r3pk1/2R2bp1/6Np/4PP1P/6P1/R5K1/8 w - - 1 40	122	37	0.5
1r1b4/1r3pk1/2R3p1/4P2p/5P1P/5NP1/R5K1/8 w - - 1 42	163	48	0.5
3b4/5pk1/2R3p1/4P2p/5P1P/5NPK/1r6/8 w - - 0 44	150	50	0.5
8/2R1bpk1/6p1/4P2p/5P1P/5NPK/5r2/8 w - - 4 46	171	42	0.5
5k2/2R2p2/2N3p1/4P2p/5P1P/b5PK/5r2/8 w - - 8 48	186	44	0.5
5k2/2R5/4p1p1/4N2p/5P1P/6PK/1b3r2/8 w - - 2 50	202	51	0.5
8/2R1Nk2/4p3/7p/5P1P/6PK/1b3r2/8 w - - 3 52	208	61	0.5
8/1R6/2N1pk2/7p/5P1P/6PK/1b2r3/8 w - - 7 54	113	25	0.5
8/8/2N2k2/1R2p2p/5P1P/6PK/4r3/b7 w - - 0 56	133	13	0.5
8/6k1/1R6/4b2p/5P1P/6PK/4r3/8 w - - 0 58	200	0	0.5
8/8/7k/4R2p/5P1P/6PK/5r2/8 w - - 1 60	190	52	0.5
8/8/6k1/7p/5P1P/6PK/2r5/7R w - - 5 62	182	39	0.5
8/8/6k1/1r5p/5P1P/6PK/8/6R1 w - - 9 64	192	25	0.5
8/8/8/r4k1p/5P1P/6PK/4R3/8 w - - 13 66	168	42	0.5
4R3/8/8/5k1p/5P1P/6P1/2r3K1/8 w - - 17 68	178	32	0.5
4R3/8/8/5k1p/5P1P/6P1/2r2K2/8 w - - 21 70	151	35	0.5
8/4R3/8/5k1p/5P1P/2r2KP1/8/8 w - - 27 73	157	32	0.5
8/8/8/r4k1p/5P1P/1R3KP1/8/8 w - - 31 75	204	12	0.5
8/8/8/2r2k1p/5P1P/R4KP1/8/8 w - - 35 77	199	2	0.5
8/8/8/1r5p/4KPkP/R5P1/8/8 w - - 39 79	196	7	0.5
8/8/8/3R3p/r3KPkP/6P1/8/8 w - - 43 81	169	0	0.5
8/8/8/3R3p/r3KPkP/6P1/8/8 w - - 47 83	164	0	0.5
8/8/8/1r5p/4KPkP/3R2P1/8/8 w - - 51 85	143	0	0.5
8/8/8/3RK2p/1r3P1P/6k1/8/8 w - - 0 87	103	0	0.5
8/8/8/4KP1p/7r/3R4/6k1/8 w - - 2 89	100	0	0.5
8/5k2/p7/P7/8/8/5BK1/8 b - - 0 51	-125	-39	0.5
8/8/p2k4/P7/4K3/8/5B2/8 b - - 4 53	-140	-30	0.5
8/8/pB1k4/P7/3K4/8/8/8 b - - 8 55	-139	-40	0.5
8/1k6/pB6/P2K4/8/8/8/8 b - - 12 57	-139	-28	0.5
k7/8/p1K5/P7/8/4B3/8/8 b - - 16 59	-144	-26	0.5
5k2/R3N3/5r1p/2n2P1p/pp6/1n6/B5PK/8 w - - 6 70	-164	-67	0.5
R7/5rk1/7p/2nN1P1p/pp6/1n6/B5PK/8 w - - 10 72	-152	-62	0.5
R4r2/6k1/7p/2n4p/pN6/1n6/6PK/1B6 w - - 2 74	-166	-64	0.5
R7/5rk1/7p/2n4p/pN6/8/3n2PK/1B6 w - - 6 76	-165	-69	0.5
R7/1r4k1/2N4p/2n4p/p7/1n6/B5PK/8 w - - 10 78	-163	-73	0.5
R7/8/1r3k1p/2n4p/p7/1n3N2/B5PK/8 w - - 14 80	-191	-91	0.5
7R/4k3/5r1p/2n4p/p7/1n3N2/B5PK/8 w - - 18 82	-211	-107	0.5
7R/8/2Nk3p/2n4p/p7/1n6/B4rPK/8 w - - 22 84	-238	-96	0.5
7R/8/5r1p/2n1k2p/pN6/1n6/6PK/1B6 w - - 26 86	-241	-114	0.5
2R5/8/3r3p/2n4p/pN1k4/1n6/6PK/1B6 w - - 30 88	-258	-129	0.5
2R5/8/3r3p/2n4p/pk6/Nn6/6PK/1B6 w - - 34 90	-249	-125	0.5
2R5/8/7p/2n4p/p7/Nnk5/6PK/1B1r4 w - - 38 92	-247	-100	0.5
2R5/8/6Bp/1Nn4p/pk6/1n6/6PK/2r5 w - - 42 94	-256	-92	0.5
2R5/8/6Bp/2nN3p/p1r5/kn6/6PK/8 w - - 46 96	-235	-95	0.5
2R5/8/6Bp/2n4p/p7/kn2N1K1/6P1/7r w - - 50 98	-204	-90	0.5
1R6/8/6Bp/2n4p/p7/4N1K1/k2n2P1/7r w - - 54 100	-182	-73	0.5
R7/5B2/7p/7p/p7/kn2N1K1/3n2P1/7r w - - 58 102	-187	-83	0.5
8/5B2/1R5p/8/p2n3p/k3N1K1/3n2P1/7r w - - 0 104	-206	-80	0.5
8/5B2/1R5p/8/p2n1K1p/k3N3/3n2P1/2r5 w - - 4 106	-162	-61	0.5
8/8/7R/3B4/p2n1K1p/k1r1N3/3n2P1/8 w - - 3 108	-174	-57	0.5
8/8/7R/3BK3/p6p/kn6/3n2P1/2rN4 w - - 7 110	-177	-73	0.5
2b2rk1/p3R2p/1b6/8/2pN4/1PP5/P4p1P/5R1K w - - 0 35	104	11	0.5
2b2rk1/p3R2p/8/2b5/3N4/1PP5/5pKP/5R2 w - - 1 37	110	15	0.5
2b2rk1/p3R2p/8/2b5/3N4/1PP5/5pKP/5R2 w - - 5 39	100	4	0.5
5rk1/pb5p/8/8/3b4/1PP3K1/4Rp1P/5R2 w - - 0 41	136	2	0.5
5rk1/p6p/8/8/3P4/1P4K1/4bR1P/8 w - - 0 43	150	1	0.5
3r2k1/7p/8/p7/3P4/1P2R1K1/7P/8 w - - 2 45	140	20	0.5
8/5k1p/8/p2r4/3P1K2/1P1R4/7P/8 w - - 6 47	95	10	0.5
8/5k1p/8/pr6/3PK3/1P1R3P/8/8 w - - 1 49	163	0	0.5
8/8/5k1p/pr6/3PK2P/1P2R3/8/8 w - - 0 51	89	1	0.5
r6r/1ppq1k2/p4p2/n7/PQ1Pp3/2P5/1P2B1pP/R1B3K1 w - - 0 19	-248	-72	0.5
r7/1ppq4/p4pk1/Q7/P1BPp2r/2P5/1P4pP/R1B3K1 w - - 3 21	-231	-89	0.5
r7/1p6/p1p2pk1/3B4/P2Pp2r/2P5/1P4pP/R1B3K1 w - - 0 23	-199	-77	0.5
4r3/1p6/p1p1B1k1/5p2/PP1Pp2r/2P5/6pP/R1B3K1 w - - 1 25	-183	-57	0.5
4r3/1p6/p5k1/3B4/PP2pp1r/2P5/6pP/R1B3K1 w - - 0 27	-211	-62	0.5
8/1p2r3/p7/3B1k2/PP2pp1r/2P5/R5KP/2B5 w - - 3 29	-161	-72	0.5
q7/2br3k/P5p1/1P1nNp1p/1B1P3P/6P1/5P2/RR4K1 b - - 1 29	307	148	0.5
q7/3r3k/P3P1p1/1P1n3p/1B3p1P/6P1/5P2/RR4K1 b - - 0 31	344	180	0.5
q7/2r4k/P2BP1p1/1P1n3p/7P/6p1/1R3P2/R5K1 b - - 3 33	222	122	0.5
7q/7k/P2BP1p1/1P1n3p/7P/6p1/1R3P2/2R3K1 b - - 0 35	224	117	0.5
8/4P2k/P2B1np1/1P5p/3q3P/8/5RK1/8 b - - 2 39	292	120	0.5
8/P3P2k/3q1np1/1P5p/7P/8/5R2/6K1 b - - 0 41	212	74	0.5
8/P3P2k/5np1/1P5p/7P/7q/5R2/6K1 b - - 4 43	243	78	0.5
8/P3P2k/5np1/1P5p/7P/7q/5R2/6K1 b - - 8 45	191	63	0.5
8/P3P2k/5np1/1P5p/7P/3q4/5R2/6K1 b - - 12 47	202	20	0.5
8/P3P2k/1P3np1/7p/7P/8/5RK1/2q5 b - - 2 49	186	2	0.5
8/P3P2k/1P3np1/7p/7P/8/5RK1/2q5 b - - 6 51	185	0	0.5
4n3/P3P2k/1Pq3p1/7p/7P/8/5R1K/8 b - - 10 53	169	0	0.5
4n3/P3P2k/1Pq3p1/7p/7P/8/5R1K/8 b - - 14 55	166	0	0.5
4nR2/P3P2k/1P4p1/7p/7q/8/8/6K1 b - - 1 57	137	0	0.5
4nR2/P3P2k/1P4p1/4q2p/8/8/8/6K1 b - - 5 59	137	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/7K/2q5 b - - 9 61	137	0	0.5
4nR2/P3P2k/1P4p1/7p/8/3q4/7K/8 b - - 13 63	121	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/7K/4q3 b - - 17 65	121	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/6K1/2q5 b - - 21 67	120	0	0.5
4nR2/P3P2k/1P1q2p1/7p/8/8/8/7K b - - 25 69	109	0	0.5
4nR2/P3P2k/1Pq3p1/7p/8/8/7K/8 b - - 29 71	119	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/7K/3q4 b - - 33 73	119	0	0.5
4nR2/P3P2k/1P4p1/7p/3q4/8/8/5K2 b - - 37 75	119	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/q7/6K1 b - - 41 77	101	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/q7/6K1 b - - 45 79	100	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/2q5/7K b - - 49 81	99	0	0.5
4nR2/P3P2k/1P4p1/7p/6q1/8/5K2/8 b - - 53 83	99	0	0.5
4nR2/P3P2k/1P4p1/7p/4q3/8/8/6K1 b - - 57 85	99	0	0.5
4nR2/P3P2k/1P4p1/4q2p/8/8/8/6K1 b - - 61 87	101	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/1q6/7K b - - 65 89	113	0	0.5
4nR2/P3P2k/1P4p1/7p/8/8/1q6/7K b - - 69 91	89	0	0.5
3q4/1r3pbk/1p1p2p1/7p/P2P4/5P1P/1P1Q1BP1/2R4K w - - 2 34	206	88	0.5
3q4/r4pbk/3p2p1/1p5p/P2P4/1PQ2P1P/5BP1/2R4K w - - 0 36	222	84	0.5
8/1r3pbk/1qQp2p1/1P5p/3P4/1P3P1P/5BP1/2R4K w - - 3 38	175	66	0.5
8/5pbk/3p2p1/1r5p/3P4/1P3P1P/5BP1/1R5K w - - 0 40	165	61	0.5
5k2/5pb1/3p2p1/1r5p/3P4/1P3P1P/5BP1/1R3K2 w - - 4 42	172	63	0.5
4k3/5pb1/6p1/1r1p3p/3P4/1P1K1P1P/5BP1/1R6 w - - 0 44	161	64	0.5
5b2/3k1p2/6p1/1r1p3p/1P1P4/3K1P1P/6P1/1R2B3 w - - 1 46	153	50	0.5
4rb2/3k1p2/6p1/3p3p/1P1P4/1K3P1P/6P1/1R2B3 w - - 5 48	125	34	0.5
1r2brk1/6p1/4p3/p2p1p2/5qPR/1PP4Q/5P1P/1B1R2K1 b - - 2 26	250	113	0.5
1r2brk1/6p1/4p3/p2p4/6pR/1PP1K2Q/7P/1B1R4 b - - 1 28	264	134	0.5
2r1brk1/6p1/4p3/p2p4/2P4R/1P2K2p/2B4P/3R4 b - - 0 30	259	134	0.5
2r1brk1/6p1/4p3/8/p1P4R/4K2p/2B4P/6R1 b - - 1 32	259	111	0.5
r3brk1/6p1/4p3/8/2P4R/p3K2p/R1B4P/8 b - - 3 34	293	98	0.5
r3b1k1/8/4p3/6p1/2P2r2/p3K1R1/R1B4P/8 b - - 2 36	278	91	0.5
3rb1k1/8/4p3/6p1/2r5/p5R1/R1B1K2P/8 b - - 3 38	325	92	0.5
6k1/8/4p3/3r2pb/2r5/R7/R1B4P/4K3 b - - 0 40	290	93	0.5
8/6k1/4p3/4r1pb/B1r5/R7/R6P/5K2 b - - 4 42	287	75	0.5
8/6k1/4p1b1/4r1p1/B4r2/R7/7P/R5K1 b - - 8 44	191	50	0.5
8/8/4pk2/4r1p1/B3br2/6R1/7P/2R3K1 b - - 12 46	202	55	0.5
8/8/2B1pk2/5bp1/5r2/8/4r1RP/2R3K1 b - - 16 48	166	53	0.5
8/8/2B1pk2/5bp1/5r2/4r3/R6P/R5K1 b - - 20 50	182	51	0.5
8/8/4pk2/5bp1/8/2r1r3/R4KBP/R7 b - - 24 52	176	44	0.5
8/8/4pk2/4rb2/6p1/2r5/1R3KBP/4R3 b - - 3 54	190	39	0.5
8/8/4p3/5bk1/6p1/2r5/1R3KBP/8 b - - 2 56	188	45	0.5
8/8/8/1R2pb2/6pk/2r5/5KBP/8 b - - 3 58	166	43	0.5
8/8/8/1R2pb2/6pk/8/5KBP/2r5 b - - 7 60	166	35	0.5
8/8/8/4pb2/6pk/1R6/4r1BP/6K1 b - - 11 62	139	37	0.5
8/8/6b1/8/4p1pk/2R5/4r2P/5BK1 b - - 3 64	191	18	0.5
8/8/6b1/4R3/6pk/4p3/r6P/5BK1 b - - 1 66	157	25	0.5
8/5b2/8/4R3/6pk/r3p3/4B1KP/8 b - - 5 68	125	41	0.5
8/5b2/8/4R3/6pk/4p3/4B1KP/r7 b - - 9 70	118	17	0.5
6b1/8/8/4R3/6pk/r3p3/4B1KP/8 b - - 13 72	185	33	0.5
6b1/8/8/4R3/6pk/4p3/4B1KP/r7 b - - 17 74	135	14	0.5
6b1/8/8/4R3/6pk/r3p3/4B2P/6K1 b - - 21 76	126	8	0.5
8/5Bk1/p2p1b1p/2p1p1pP/2P1PP2/r1B1P3/3K4/5R2 b - - 0 36	-121	-32	0.5
8/5B2/p2p1k1p/2p3pP/2P1PP2/r7/3K4/5R2 b - - 0 38	-146	-11	0.5
8/6k1/p2p1R1p/2p3PP/2P1P3/r7/3K4/8 b - - 2 40	-110	-4	0.5
8/5k2/p2R3p/2p3PP/2P1P3/6r1/3K4/8 b - - 0 42	-97	0	0.5
8/5k2/7R/p1p3rP/2P1P3/4K3/8/8 b - - 1 44	-109	0	0.5
8/6k1/R7/p1p4r/2P1PK2/8/8/8 b - - 1 46	-84	0	0.5
1r3rk1/p2q1pb1/3p2p1/3Pp1Bp/1R1n4/P2P2P1/Q4PBP/5RK1 b - - 0 21	221	111	0.5
1r4k1/3q1pb1/3p2p1/p2Pp2p/3n4/P2PB1P1/Q4PBP/5RK1 b - - 1 23	229	129	0.5
6k1/5pb1/3p2p1/p2Pp2p/q2n4/P2PB1P1/5PBP/1Q4K1 b - - 0 25	212	95	0.5
6k1/5pb1/3p2p1/p2P3p/3p4/q2P1BP1/5P1P/1Q4K1 b - - 1 27	202	57	0.5
6k1/5p2/3p2pb/p2P3p/3p4/2qP2P1/5PKP/1Q1B4 b - - 5 29	218	54	0.5
6k1/5p2/3p2p1/p2P3p/3p3P/3P2P1/2Qb1PK1/3Bq3 b - - 0 31	204	92	0.5
8/5pk1/3p2p1/p2P3p/Qb1p3P/3P2P1/5PK1/3Bq3 b - - 4 33	187	71	0.5
8/5pk1/3p2p1/p2P3p/1b1p3P/3P1BP1/2Q2PK1/4q3 b - - 8 35	187	69	0.5
8/5pk1/3p2p1/p2Pq2p/2Qp3P/3P2P1/5PK1/3Bb3 b - - 12 37	186	55	0.5
8/5pk1/3p2p1/p2Pq2p/2Qp3P/3P2P1/5PK1/3Bb3 b - - 16 39	186	60	0.5
8/2Q2pk1/3p2p1/p2P1q1p/3p3P/3P1BP1/5PK1/4b3 b - - 20 41	169	55	0.5
8/5pk1/Q2p2p1/p2P1q1p/3p3P/3P1BP1/5PK1/4b3 b - - 24 43	184	52	0.5
8/5pk1/2Qp2p1/p2Pq2p/3p3P/2bP1BP1/5PK1/8 b - - 28 45	172	66	0.5
8/5pk1/3p2p1/pQ1P1q1p/1b1p3P/3P2P1/5PK1/3B4 b - - 32 47	165	65	0.5
2q5/5pk1/3p2p1/p2P3p/3p3P/3P1BP1/5PK1/1Q2b3 b - - 36 49	168	56	0.5
8/5pk1/3p2p1/p2P1q1p/1b1p3P/1B1P2P1/5PK1/1Q6 b - - 40 51	157	41	0.5
8/5pk1/3p2p1/p2P3p/B2p2qP/2bP2P1/2Q2PK1/8 b - - 44 53	154	30	0.5
8/5pk1/3p2p1/p2P3p/B2p2qP/2bP2P1/2Q2PK1/8 b - - 48 55	145	22	0.5
8/5pk1/2Bp2p1/p2Pq2p/3p3P/2bP2P1/5PK1/3Q4 b - - 52 57	138	30	0.5
6k1/5p2/2Bp2p1/p2P1q1p/3p3P/2bP2P1/4QP2/5K2 b - - 56 59	138	37	0.5
8/5pk1/2Bp2p1/p2P3p/3p3P/2bP1QPq/5P2/6K1 b - - 60 61	154	49	0.5
8/5pk1/2Bp2p1/p2P4/3p2pP/2bP2P1/5PK1/8 b - - 1 63	145	44	0.5
8/3B2k1/3p2p1/p2P1p2/3p2pP/3P2P1/1b3P2/5K2 b - - 3 65	136	52	0.5
8/4k3/2Bp2p1/p2P1p2/3p2pP/3P1PP1/4K3/b7 b - - 0 69	202	86	0.5
8/8/2Bp1kp1/p2P1p2/3p3P/3P2P1/4K3/b7 b - - 2 71	196	51	0.5
8/8/2Bp1kp1/p2P1p2/3p3P/2bP2P1/4K3/8 b - - 6 73	195	50	0.5
8/6k1/3p2p1/p2P1p2/B2p3P/3P2P1/1b1K4/8 b - - 10 75	183	33	0.5
8/8/3p2pk/p2P1p2/3p3P/3P2P1/8/b2BK3 b - - 14 77	183	30	0.5
8/6k1/3p2p1/p2P1p2/B2p3P/2bP2P1/4K3/8 b - - 18 79	182	28	0.5
8/6k1/3p2p1/p2P1p2/B2p3P/2bP2P1/4K3/8 b - - 22 81	181	31	0.5
8/4k3/3p2p1/p2P1p2/B2p3P/2bP2P1/4K3/8 b - - 26 83	170	36	0.5
4B3/8/3p1kp1/p2P1p2/1b1p3P/3P2P1/4K3/8 b - - 30 85	166	33	0.5
8/8/2Bp1kp1/p2P1p2/3p3P/b2P2P1/3K4/8 b - - 34 87	166	30	0.5
8/8/3p2pk/p2P1p2/B2p3P/b2P2P1/3K4/8 b - - 38 89	171	26	0.5
