coda	15000	rn1qk1nr/pp1b1pbp/3p2p1/2p1p3/2P2P2/P3PN2/1P1PB1PP/RNBQK2R w KQkq - 0 3	-28
coda	15000	rn1qk1nr/pbp1bppp/1p2p3/8/4p3/2PP2P1/PP1N1PBP/R1BQK1NR w KQkq - 2 3	30
coda	15000	8/8/8/1r4k1/6p1/3R2K1/8/8 b - - 3 61	0
coda	15000	r1bqk2r/pp3ppp/2n2n2/3pB3/4P3/1P3PP1/P1P4P/R2QKBNR w KQkq - 1 7	70
coda	15000	r2q1rk1/2pb1pb1/3p2pp/Q2N4/1n1NP3/5PP1/1PP3BP/2KRR3 w - - 0 18	-72
coda	15000	r1r3k1/1pq2ppb/p4n1p/P1npb3/3N4/2PPBNP1/4P1BP/R2Q1R1K b - - 1 15	4
coda	15000	r1bqk2r/1p1nbppp/2p2n2/8/p1N1p2N/1P2P3/PBP1BPPP/R2Q1RK1 b kq - 1 7	57
coda	15000	rnbqk2r/1p2ppbp/p1p2np1/3p4/2PP4/N4NP1/PP2PPBP/R1BQK2R w KQkq - 1 3	51
coda	15000	rnbqkb1r/p2p2pp/1p2pn2/5p2/8/1P3N2/PBP1PPPP/RN1QKB1R w KQkq - 0 3	34
coda	15000	2rn4/5p2/4p1p1/3pP2p/pP1N1P2/2Pk2PP/1K6/5R2 w - - 15 41	0
coda	15000	6k1/Qp2r2p/n2R1pp1/4p3/P1P1P3/4B1Pq/5P2/6K1 b - - 3 27	-223
coda	15000	r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/1PP2NP1/PB1PQPBP/RN3RK1 b kq - 2 5	-8
coda	15000	3r1rk1/2pq1bb1/pp5p/3p1np1/3P1N2/P1N1PQ1B/1PP2P2/2K1R2R w - - 0 17	122
coda	15000	rnbqk1nr/p3bp1p/4p1p1/1pppP3/5P2/3P2P1/PPPB2BP/RN1QK1NR b KQkq - 2 5	144
coda	15000	r3k2r/1bq1npp1/pp1bpn1p/3pN3/3P1PP1/2PBPQ2/1P1N3P/R1B1K2R b KQkq - 2 9	-41
coda	15000	1r3nk1/6bp/rn1p2q1/p1p1P3/p1P2p2/5N1P/1PQN2P1/R1B1R1K1 w - - 1 21	100
coda	15000	2bqk3/1p3p2/1R1p3r/2pNp1p1/2PnPnPp/r1NP3P/PQ3PB1/1R5K b - - 8 19	0
coda	15000	r1bq1rk1/p3ppbp/1Pn2np1/3p4/8/P1N1PN2/1PP1BPPP/1RBQK2R b K - 0 6	-49
coda	15000	8/8/8/3k4/3p1K2/2rB4/8/3R4 w - - 13 96	26
coda	15000	3qr1k1/5pb1/1p2n1pp/p2p1n2/3Pp2P/4P1P1/PP2NPN1/2BQ1RK1 b - - 0 16	187
coda	15000	8/7R/8/p2pk3/8/1PP5/1K5p/7r b - - 25 59	17
coda	15000	1k1r1br1/1bp5/1n1p4/p2PpBqp/P1P1P1p1/8/2Q2PPB/1R3RK1 w - - 1 22	-166
coda	15000	rn3r2/1b2qpp1/p2bp1k1/1p1P2N1/2P5/4B3/P4PPP/2RQ1RK1 b - - 0 15	-123
coda	15000	r1q1kb1r/5n2/2p1bp2/ppn1p1pp/4P3/2N3PP/PPPBQPB1/R2R1NK1 w kq - 4 13	-116
coda	15000	1r2brk1/p1q3p1/4p2p/npp1N3/4RP2/2Q3PP/2P3BK/4R3 w - - 0 21	-3
coda	15000	r3kb1r/pp1n1ppp/1qp1p1bn/3p4/2PP1PP1/5N1P/PP2P1B1/RNBQK2R b KQkq - 2 5	-5
coda	15000	r1b1k1nr/p1ppqppp/2n5/2p1p3/8/3PP3/PPP2PPP/1RBQKBNR w Kkq - 0 3	7
coda	15000	R7/1r3p2/1p4pk/2p4p/2P1PPbP/4K3/3N2P1/8 w - - 0 33	62
coda	15000	4q1k1/8/3Qp1pP/8/6P1/6K1/8/8 b - - 0 58	29
coda	15000	6k1/p7/1pn1p3/2pp1n1B/5B2/P2P3P/2P2P2/6K1 b - - 0 27	73
coda	15000	5b2/8/pk6/8/2P1rrKP/6P1/PP6/3R4 w - - 0 35	-13
coda	15000	r1b2rk1/3nq1pp/1ppbp3/3p1p2/p1PPn3/1P1NPN2/PB2BPPP/2RQ1RK1 b - - 3 11	-1
coda	15000	r1b2rk1/pp1nppbp/1qn3p1/2pp4/3P1B2/2P1PN1P/PPQ1BPP1/RN1R2K1 b - - 5 7	-83
coda	15000	4rrk1/pp2q1bp/2pp2p1/1P3b2/2P3n1/PR4P1/4NPBP/2BQ1RK1 w - - 5 17	4
coda	15000	R7/6bp/6p1/2p1k1B1/N6P/r2n2P1/5P2/6K1 w - - 13 38	-10
coda	15000	r2qkbnr/p1pn1ppp/2b1p3/1p1p4/3N1P2/2NPP2P/PPP1Q1P1/R1B1KB1R b KQkq - 1 4	-15
coda	15000	r1b2rk1/ppp2pb1/2n3pp/6q1/2BPp3/2N1P3/PP1N1PPP/R2QK2R w KQ - 1 9	96
coda	15000	r1bqr1k1/1pp2pb1/3pn1pp/pN2p3/1nP1P3/3PBNPP/PPQ2PB1/R3R1K1 w - - 7 12	-41
coda	15000	r1r3k1/1b4pp/1p1bqn2/pBppNp2/P2PnP2/1P2PN2/1BR1Q1PP/5RK1 b - - 7 15	10
coda	15000	r2qkb1r/2pn1ppp/bp1p1n2/p3p3/P3PP2/N1PP1N2/1P2B1PP/R1BQK2R b KQkq - 2 4	-41
