fen	A	B	gap_d	gap_deep	gap_e	vd	vdeep	ve
r4rk1/4qppp/1b2p2n/p2bP1N1/PppP1P2/4B2Q/1P2B1PP/3RK2R w K - 1 16	e1g1	e1g1	0	0	0	EXONERATED	EXONERATED	EXONERATED
rqr1b1k1/1p2bpp1/1n2p2p/1P1nNP2/4N3/pQ4PP/P2PB3/B3RRK1 b - - 0 18	f7f6	f7f6	0	0	0	EXONERATED	EXONERATED	EXONERATED
6k1/1p5p/2p1r1b1/2Ppr3/P4QP1/1R2P1P1/3qBKNP/8 w - - 0 37	b3b7	g2h4	19	29	34	EXONERATED	EXONERATED	SOFT
2r4k/4pp1p/1pn2q2/2p2N2/p1P3PQ/P2rP2P/3P1R2/2R3K1 w - - 5 29	g4g5	h4f6	-70	0	0	EXONERATED	EXONERATED	EXONERATED
1rb2rk1/5pbp/4p1p1/q2p3P/Npp1NB2/1B4P1/P3PP2/3Q1RK1 w - - 2 17	f4b8	f4b8	0	0	0	EXONERATED	EXONERATED	EXONERATED
6bk/6b1/1p4pp/p1Nn4/P2p2Q1/2qP1NPP/5PBK/8 w - - 0 28	c5d7	c5d7	0	0	0	EXONERATED	EXONERATED	EXONERATED
4rrk1/1p1q2b1/p2p2n1/2pP1pB1/2P1b1P1/1P3P2/P2QB2N/3RR1K1 b - - 0 22	f5f4	g7d4	19	10	0	EXONERATED	EXONERATED	EXONERATED
r6r/4n3/3p1k2/PRpPb3/2P2pPq/3B1P2/4R2N/5Q1K b - - 4 38	h4g3	a8a7	37	72	72	SOFT	SOFT	SOFT
6k1/5p2/6p1/n1rPPnPp/p4P1P/P2K4/1P2N3/1R6 w - - 7 40	e2c3	e2c3	0	0	0	EXONERATED	EXONERATED	EXONERATED
4r1k1/1q5p/b1p3p1/p1PpP1Q1/4p3/PP4P1/2R4P/4R1K1 b - - 4 34	b7b3	b7b3	0	0	0	EXONERATED	EXONERATED	EXONERATED
2rqr3/1R6/1Rpp2bk/p5pn/2PPpp1p/P3P2P/3QNPP1/5BK1 b - - 3 29	f4f3	f4f3	0	0	0	EXONERATED	EXONERATED	EXONERATED
