fen	played_uci	coda_cp	opp_cp	dur	src
r2q1rk1/p2b2b1/1p5n/1P1Np1pp/2PpPp2/P2P4/1B2B1PP/R3QRK1 w - - 0 14	a3a4	64	4	3	runA150.pgn
r2q1rk1/p2b2b1/1p5n/1P1Np2p/P1PpPpp1/3P4/1B2B1PP/R3QRK1 w - - 0 15	a4a5	76	13	3	runA150.pgn
r2q1rk1/p5b1/1p2b2n/PP1Np2p/2PpPpp1/3P4/1B2B1PP/R3QRK1 w - - 1 16	b2a3	48	0	3	runA150.pgn
5b2/7k/1P2b2n/4p2p/2PpPppq/3P4/1Q2B1PP/5RK1 w - - 3 25	e2d1	137	55	3	runA150.pgn
8/7k/1P1bb2n/4p2p/2PpPppq/3P4/1Q4PP/3B1RK1 w - - 5 26	c4c5	100	44	3	runA150.pgn
8/7k/1P2b2n/2b1p2p/3pPppq/3P4/1Q4PP/3B1RK1 w - - 0 27	b6b7	78	34	3	runA150.pgn
1Q6/5n1k/4b3/4p2p/3pPppq/3P4/6PP/3B1RK1 w - - 1 30	d1b3	93	23	2	runA150.pgn
1Q6/5n1k/8/4p2p/3pPppq/1b1P4/6PP/5RK1 w - - 0 31	b8b3	61	16	2	runA150.pgn
8/5nk1/8/4p1qp/3pPpp1/3P4/2Q3PP/5RK1 w - - 3 33	g1h1	41	0	2	runA150.pgn
8/5nk1/8/4p1qp/3pPp2/3P2p1/2Q3PP/5R1K w - - 0 34	c2e2	52	0	2	runA150.pgn
r3k1nr/p1pqbp1p/bpn1p1p1/8/4N3/2PP1NP1/PP2QPBP/R1B1K2R w KQkq - 6 8	c1f4	80	18	2	runA150.pgn
2kr2nr/p1pqbp1p/bpn1p1p1/8/4NB2/2PP1NP1/PP2QPBP/R3K2R w KQ - 8 9	e1c1	82	34	2	runA150.pgn
1r1b4/5pk1/1P1pq1p1/3Np3/2PpP3/1R3Q2/5P2/6K1 b - - 3 33	e6c8	101	8	3	runA150.pgn
1rqb4/5pk1/1P1p2p1/3Np3/2PpP3/1R6/4QP2/6K1 b - - 5 34	f7f5	88	28	3	runA150.pgn
1rqb4/6k1/1P1p2p1/3Npp2/2PpP3/1R6/4QP1K/8 b - - 1 35	b8b7	98	13	3	runA150.pgn
r2qr1k1/pp1b1ppp/5n2/3pn3/8/1P3PP1/PBPQ3P/2KR1BNR w - - 2 11	f1g2	148	65	13	runA150.pgn
r2qr1k1/pp3ppp/5n2/3pnb2/8/1P3PP1/PBPQ2BP/2KR2NR w - - 4 12	g1e2	131	72	13	runA150.pgn
2rqr1k1/pp3ppp/5n2/3pnb2/8/1P3PP1/PBPQN1BP/2KR3R w - - 6 13	e2d4	143	68	13	runA150.pgn
r1bqk1r1/1p2bp1p/2p2B2/3n1N2/2N1p3/pP2P3/P1P1BPPP/R2Q1RK1 b q - 0 11	c8f5	68	5	2	runA150.pgn
r2qk1r1/1p2bp1p/2p5/3n1b2/2NBp3/pP2P3/P1P1BPPP/R2Q1RK1 b q - 1 12	f5h3	71	2	2	runA150.pgn
rnbq1rk1/1p2ppbp/p1p3p1/8/2PPRB1N/1P4P1/5PBP/2RQ2K1 w - - 1 14	d1e2	92	37	2	runA150.pgn
rnbqr1k1/1p2ppbp/p1p3p1/8/2PPRB1N/1P4P1/4QPBP/2R3K1 w - - 3 15	d4d5	89	48	2	runA150.pgn
2rq1rk1/3pb1pp/4p3/1p3p2/8/1PR3P1/PB2PPKP/3Q1R2 w - - 0 16	c3c8	81	35	4	runA150.pgn
2q2rk1/3pb1pp/4p3/1p3p2/8/1P4P1/PB2PPKP/3Q1R2 w - - 0 17	f2f3	77	20	4	runA150.pgn
2q2r2/3pbkpp/4p3/1p3p2/8/1P3PP1/PB2P1KP/3Q1R2 w - - 1 18	d1d4	74	34	4	runA150.pgn
2r4r/k2b1p2/p3p1p1/p1npP2p/3N1P2/PPN2RP1/2P4P/1K1R4 w - - 1 20	b1c1	90	23	7	runA150.pgn
2r4r/k2b1p2/p3p1p1/2npP2p/p2N1P2/PPN2RP1/2P4P/2KR4 w - - 0 21	b3b4	75	23	7	runA150.pgn
2r4r/kn1b1p2/p3p1p1/3pP2p/pP1N1P2/P1N2RP1/2P4P/2KR4 w - - 1 22	c1b2	100	9	7	runA150.pgn
5r1k/1p2n1bp/p1q5/2pp1n2/P3rP2/1PPR1BP1/2N3QK/2B2R2 b - - 10 26	e4e6	69	-10	2	runA150.pgn
5r1k/1p2n1bp/p1q1r3/2pp1n2/P4P2/1PPRNBP1/6QK/2B2R2 b - - 12 27	e6h6	68	-1	2	runA150.pgn
r1bqkb1r/1pp1p1pp/p1n2n2/3p1pB1/3P4/2N1P2P/PPP2PP1/R2QKBNR w KQkq - 1 2	g1e2	119	60	44	runA150.pgn
r2qkb1r/1pp1p1pp/p1n1bn2/3p1pB1/3P4/2N1P2P/PPP1NPP1/R2QKB1R w KQkq - 3 3	g2g4	132	65	44	runA150.pgn
r2qkb1r/1pp1p1pp/p1n1bn2/3p2B1/3P2p1/2N1P2P/PPP1NP2/R2QKB1R w KQkq - 0 4	e2f4	128	75	44	runA150.pgn
8/4k3/8/4K3/8/2rB3R/8/8 w - - 49 195	h3h7	65	13	19	runA150.pgn
3k4/7R/8/4K3/8/2rB4/8/8 w - - 51 196	d3f1	64	19	19	runA150.pgn
3k4/7R/2r5/4K3/8/8/8/5B2 w - - 53 197	f1g2	68	13	19	runA150.pgn
r7/q4pk1/b3p1pn/3pP2p/p1p2PPN/PrP2B1P/1PR4K/3Q2R1 b - - 0 27	h5g4	28	-13	2	runA150.pgn
r7/q4pk1/b3p1pn/3pP3/p1p2PPN/PrP2B2/1PR4K/3Q2R1 b - - 0 28	a8h8	28	-17	2	runA150.pgn
r4rk1/2q2pp1/1p2pn2/p3Pn1P/2NPB2P/4P2Q/1P5K/R1B2R2 b - - 0 18	f6e4	165	-40	2	runA150.pgn
r4rk1/2q2pp1/1p2p3/p3Pn1P/3Pn2P/4P2Q/1P1N3K/R1B2R2 b - - 1 19	c7c2	223	-41	2	runA150.pgn
2r2rk1/5pp1/1p2p2P/p3P3/3P3P/4P2Q/1q6/R4R1K b - - 0 24	b2c2	-166	-55	4	runA150.pgn
2r2rk1/5pp1/1p2p2P/p3P3/3P1R1P/4P2Q/2q5/R6K b - - 2 25	c2c6	-105	-48	4	runA150.pgn
2r2rk1/5pp1/1pq1p2P/p3P3/3P1R1P/4P2Q/7K/R7 b - - 4 26	c6c2	-162	-40	4	runA150.pgn
2r2rk1/5pp1/1p2p2P/p3P3/3PPR1P/2Q5/8/R6K b - - 0 29	c8c3	-73	-26	3	runA150.pgn
5rk1/5pp1/1p2p2P/p3P3/3PPR1P/2r5/8/6RK b - - 1 30	g7g6	-72	-20	3	runA150.pgn
5rk1/5p2/1p2p1pP/p2PP3/4PR1P/2r5/8/6RK b - - 0 31	f8c8	-67	-12	3	runA150.pgn
8/5pk1/b6r/5p2/P3p3/2NpP1P1/3K3P/7R b - - 2 44	a6c4	73	17	5	runA150.pgn
8/5pk1/7r/P4p2/2b1p3/2NpP1P1/3K3P/7R b - - 0 45	g7h7	106	14	5	runA150.pgn
8/5p1k/7r/P4p2/N1b1p3/3pP1P1/3K3P/7R b - - 2 46	h6a6	65	12	5	runA150.pgn
3R4/1br5/6k1/4K3/4p2P/3pP3/8/3N4 b - - 9 67	c7c5	79	0	3	runA150.pgn
3R4/1b6/6k1/2r5/4pK1P/3pP3/8/3N4 b - - 11 68	c5f5	78	0	3	runA150.pgn
3R4/1b6/6k1/5r2/4p1KP/3pP3/8/3N4 b - - 13 69	f5d5	50	0	3	runA150.pgn
5k2/8/3rn1p1/R5P1/3p1PK1/3B4/8/8 w - - 9 66	g4f3	72	19	15	runA150.pgn
5k2/8/1r2n1p1/R5P1/3p1P2/3B1K2/8/8 w - - 11 67	a5e5	59	16	15	runA150.pgn
5k2/6n1/1r4p1/4R1P1/3p1P2/3B1K2/8/8 w - - 13 68	f3g4	70	13	15	runA150.pgn
k2r1b1r/p4R1p/6p1/1p1p4/3N2p1/P1P5/1P5P/1K1R4 b - - 3 20	d8b8	121	46	23	runA150.pgn
kr3b1r/p4R1p/4N1p1/1p1p4/6p1/P1P5/1P5P/1K1R4 b - - 5 21	f8d6	106	36	23	runA150.pgn
kr5r/p1N2R1p/3b2p1/1p1p4/6p1/P1P5/1P5P/1K1R4 b - - 7 22	d6c7	104	32	23	runA150.pgn
rn1qk2r/1bp1bpp1/1p1ppn1p/pP6/3P1B2/P1P1PN2/5PPP/RN1QKB1R w KQkq - 0 5	h2h3	-5	-66	2	runA150.pgn
rn1qk2r/1bp1bp2/1p1ppn1p/pP4p1/3P1B2/P1P1PN1P/5PP1/RN1QKB1R w KQkq - 0 6	f4h2	4	-72	2	runA150.pgn
2kr1b1r/1bpnq3/1p1pp2p/pP3pp1/2PP4/P2BP2P/2QN1PPB/R4RK1 w - - 1 13	d2b3	-18	-77	3	runA150.pgn
2kr1b1r/1bpnq3/1p1pp2p/pP3p2/2PP2p1/PN1BP2P/2Q2PPB/R4RK1 w - - 0 14	h3h4	-4	-88	3	runA150.pgn
2kr1b1r/1bpn4/1p1pp2p/pP3p2/2PP2pq/PN1BP3/2Q2PPB/R4RK1 w - - 0 15	d4d5	12	-92	3	runA150.pgn
r3brk1/2q1b3/2pnnp2/1p2p1p1/4P1Pp/1P1R1Q1P/2P1NPB1/2BR1NK1 w - - 1 27	f1e3	-195	-125	2	runA150.pgn
r3brk1/2q1b3/2pn1p2/1pn1p1p1/4P1Pp/1P1RNQ1P/2P1NPB1/2BR2K1 w - - 3 28	d3c3	-233	-129	2	runA150.pgn
r2bbrk1/1n6/q4p2/1p2pNp1/1P4Pp/5Q1P/2P2PB1/2BR2K1 w - - 6 35	c1e3	-223	-180	2	runA150.pgn
1r1bbrk1/1n6/q4p2/1p2pNp1/1P4Pp/4BQ1P/2P2PB1/3R2K1 w - - 8 36	f3e4	-324	-160	2	runA150.pgn
r1bq1rk1/pp1nppbp/2p3p1/3p4/P1PPn3/1P2PN2/4BPPP/RNBQ1RK1 w - - 1 5	c1b2	100	44	6	runA150.pgn
r1bqr1k1/pp1nppbp/2p3p1/3p4/P1PPn3/1P2PN2/1B2BPPP/RN1Q1RK1 w - - 3 6	a4a5	91	42	6	runA150.pgn
r1bqr1k1/pp1nppbp/2p3p1/P7/2pPn3/1P2PN2/1B2BPPP/RN1Q1RK1 w - - 0 7	b3c4	88	20	6	runA150.pgn
rn3bnr/4kppp/p3p3/1q3P2/3P4/3Q1NP1/PPP4P/R1B1K2R w KQ - 1 11	c2c4	0	-63	2	runA150.pgn
rn3bnr/4kppp/p3p3/5q2/2PP4/3Q1NP1/PP5P/R1B1K2R w KQ - 0 12	d3b3	-13	-73	2	runA150.pgn
2r2rk1/1q4pp/4Q3/2b2p2/8/p7/P4PPP/B1R2RK1 b - - 0 23	b7f7	79	15	3	runA150.pgn
2r2rk1/5Qpp/8/2b2p2/8/p7/P4PPP/B1R2RK1 b - - 0 24	g8f7	46	0	3	runA150.pgn
2r2r2/5kpp/8/2b2p2/8/p7/P4PPP/B1RR2K1 b - - 1 25	c5e7	47	0	3	runA150.pgn
3r4/pb3kbp/1p3pp1/2p3n1/P1N5/1P1N4/1BP2PPP/4R1K1 w - - 2 19	a4a5	-71	-21	2	runA150.pgn
3r4/p4kbp/1p3pp1/P1p3n1/2N1b3/1P1N4/1BP2PPP/4R1K1 w - - 1 20	a5b6	-75	-19	2	runA150.pgn
r2q1rk1/pp1b1p2/6pp/n1P5/4pNP1/4P3/Pb1NBP1P/R2QR1K1 w - - 0 17	d2e4	97	46	6	runA150.pgn
r2q1rk1/pp3p2/2b3pp/n1P5/4NNP1/4P3/Pb2BP1P/R2QR1K1 w - - 1 18	a1b1	86	37	6	runA150.pgn
r2q1rk1/pp3p2/2b3pp/n1P1b3/4NNP1/4P3/P3BP1P/1R1QR1K1 w - - 3 19	d1c2	94	43	6	runA150.pgn
rr2b1k1/5pb1/3p2pp/qpn5/3pPN1P/P2P2P1/3N1PB1/1RQ1R1K1 w - - 0 27	e4e5	-110	-38	2	runA150.pgn
rr2b1k1/5p2/3p2pp/qpn1b3/3p1N1P/P2P2P1/3N1PB1/1RQ1R1K1 w - - 0 28	e1e5	-101	-47	2	runA150.pgn
rnr1q1k1/2p2pbp/bp2pnp1/p1PpN3/N2P4/PP2P3/1BQ1BPPP/2R2RK1 w - - 3 12	c5c6	80	13	2	runA150.pgn
rnr1q1k1/2p2pbp/bpP1p1p1/p2pN3/N2Pn3/PP2P3/1BQ1BPPP/2R2RK1 w - - 1 13	f2f3	74	-14	2	runA150.pgn
rnr1q1k1/2p2pbp/1pPnp1p1/p2pN3/N2P4/PP2PP2/1B2Q1PP/2R2RK1 w - - 1 15	e3e4	75	12	2	runA150.pgn
rnr1q1k1/2p3bp/1pPnppp1/p2pN3/N2PP3/PP3P2/1B2Q1PP/2R2RK1 w - - 0 16	e5d3	62	15	2	runA150.pgn
r2nr1k1/2p2qbp/1p2p1N1/p3Pp2/3P4/PP5Q/1B2N1RP/6K1 w - - 20 34	g6f4	112	43	5	runA150.pgn
r2nr2k/2p2qbp/1p2p3/p3Pp2/3P1N2/PP5Q/1B2N1RP/6K1 w - - 22 35	d4d5	120	32	5	runA150.pgn
r2nr2k/2p2qbp/1p6/p2pPp2/5N2/PP5Q/1B2N1RP/6K1 w - - 0 36	f4g6	65	20	5	runA150.pgn
r1bqkb1r/1pp3pp/2n1pp2/p2p1n2/P4P2/1PN2NPB/1BPPP2P/R2QK2R b KQkq - 1 4	e6e5	113	66	7	runA150.pgn
r1bqkb1r/1pp3pp/2n2p2/p2pPn2/P7/1PN2NPB/1BPPP2P/R2QK2R b KQkq - 0 5	f6e5	141	70	7	runA150.pgn
r1bqkb1r/1pp3pp/2n5/p2ppn2/P3P3/1PN2NPB/1BPP3P/R2QK2R b KQkq - 0 6	d5e4	133	74	7	runA150.pgn
r1qr2k1/pp2bpp1/2n1pn1p/2pp1b2/P4B2/1QPPPN1P/1P1NBPP1/R4RK1 b - - 0 8	b7b6	84	36	13	runA150.pgn
r1qr2k1/p3bpp1/1pn1pn1p/2pp1b2/P4B2/1QPPPN1P/1P1NBPP1/R3R1K1 b - - 1 9	c8b7	97	36	13	runA150.pgn
r2r2k1/pq2bpp1/1pn1pn1p/2pp1b2/P4B2/1QPPPN1P/1P1N1PP1/R3RBK1 b - - 3 10	f5h7	97	40	13	runA150.pgn
1r3rk1/1bq5/pp1bpn1p/2pP1pp1/1nP5/4PPPN/PBQ1N1BP/2R2RK1 w - - 1 18	c2d2	110	42	2	runA150.pgn
1r3rk1/1bq5/pp1b1n1p/2pp1pp1/1nP5/4PPPN/PB1QN1BP/2R2RK1 w - - 0 19	a2a3	137	16	2	runA150.pgn
1r3rk1/1bq5/pp1b1n1p/5pp1/1pp5/4PPPN/1B1QN1BP/2R2RK1 w - - 0 21	c1c4	80	11	2	runA150.pgn
1r3rk1/1b6/pp1b1n1p/5pp1/1pq5/4PPPN/1B1QN1BP/5RK1 w - - 0 22	d2d6	61	15	2	runA150.pgn
4rrk1/1b6/pp3n1p/5pp1/1p6/1q2PPPN/1B1QN1BP/5RK1 w - - 3 24	b2d4	118	23	2	runA150.pgn
4rrk1/1b6/1p3n1p/p4pp1/1p1B4/1q2PPPN/3QN1BP/5RK1 w - - 0 25	f1c1	106	23	2	runA150.pgn
b7/p5qk/1p2Qbpp/2r2p1P/3p1P2/1P1B1N2/P4RP1/6K1 b - - 1 25	a8e4	71	8	2	runA150.pgn
8/p5qk/1p2Qbpp/2r2p1P/3pBP2/1P3N2/P4RP1/6K1 b - - 0 26	f5e4	69	0	2	runA150.pgn
r2q1rk1/pp3pp1/2p2n1p/8/2b1PP2/2R3PP/PP1B2BK/R2Q4 b - - 0 13	c4d3	-153	-60	8	runA150.pgn
r2q1rk1/pp3pp1/2p2n1p/4P3/5P2/2Rb2PP/PP1B2BK/R2Q4 b - - 0 14	f6e4	-119	-56	8	runA150.pgn
r2q1rk1/pp3pp1/2p4p/4P3/4BP2/2Rb2PP/PP1B3K/R2Q4 b - - 0 15	d3e4	-143	-61	8	runA150.pgn
r2q1rk1/ppn2pbp/2pp2pn/4p3/1PP3b1/1QNPP1PN/P4PBP/1RB2RK1 w - - 1 8	b4b5	76	-1	8	runA150.pgn
r2q1rk1/ppn2pbp/3p2pn/1p2p3/2P3b1/1QNPP1PN/P4PBP/1RB2RK1 w - - 0 9	c1a3	112	1	8	runA150.pgn
r2q1rk1/1pn2pbp/p2p2pn/1p2p3/2P3b1/BQNPP1PN/P4PBP/1R3RK1 w - - 0 10	c3e4	83	-8	8	runA150.pgn
r1q2rk1/1b4pp/1p1p4/5p2/PpP1pP2/3RP1P1/1PN3BP/R2Q2K1 b - - 0 19	e4d3	-79	-21	3	runA150.pgn
r1q2rk1/1B4pp/1p1p4/5p2/PpP2P2/3pP1P1/1PN4P/R2Q2K1 b - - 0 20	c8b7	-62	-22	3	runA150.pgn
r4rk1/1q4pp/1p1p4/5p2/PpP2P2/3QP1P1/1PN4P/R5K1 b - - 0 21	b4b3	-66	-15	3	runA150.pgn
2rqrbk1/ppp2ppp/6b1/P2pN3/1n1PnBP1/2N4P/1P2PPB1/R2Q1RK1 b - - 6 14	d8f6	-83	-40	2	runA150.pgn
2r1rbk1/ppp2ppp/5qN1/P2p4/1n1PnBP1/2N4P/1P2PPB1/R2Q1RK1 b - - 0 15	h7g6	-83	-18	2	runA150.pgn
r2qk1nr/5ppp/bp2p3/p1b5/3pPP2/6PP/PPP1Q1BK/RNBR4 w kq - 2 10	e2e1	76	16	3	runA150.pgn
r2qk2r/4nppp/bp2p3/p1b5/3pPP2/6PP/PPP3BK/RNBRQ3 w kq - 4 11	a2a3	100	11	3	runA150.pgn
r2qk2r/4nppp/bp2p3/2b5/p2pPP2/P5PP/1PP3BK/RNBRQ3 w kq - 0 12	b2b4	53	-7	3	runA150.pgn
6k1/8/1p2p1p1/1P3n2/5P1p/1P1R2PP/1r4N1/6K1 w - - 0 31	g2h4	66	9	6	runA150.pgn
6k1/8/1p2p1p1/1P6/5P1n/1P1R2PP/1r6/6K1 w - - 0 32	g3h4	62	8	6	runA150.pgn
8/5k2/1p2p1p1/1P6/5P1P/1P1R3P/1r6/6K1 w - - 1 33	d3d6	53	2	6	runA150.pgn
6rk/pp1n3p/2p5/2P1p3/1P4Q1/8/P5BP/6RK b - - 0 30	g8g4	124	36	13	runA150.pgn
7k/pp1n3p/2p5/2P1p3/1P4r1/7B/P6P/6RK b - - 1 31	g4d4	114	39	13	runA150.pgn
7k/pp1n3p/2p5/2P1p3/1P1r4/P6B/7P/6RK b - - 0 32	d7f6	98	33	13	runA150.pgn
2r3k1/pp1b1pp1/3rp3/2p3PP/3nP2N/3P4/PB3K2/2R4R w - - 1 22	b2d4	79	-1	5	runA150.pgn
2r3k1/pp1b1pp1/4p3/2p3PP/3rP2N/3P4/P4K2/2R4R w - - 0 23	h4f3	86	0	5	runA150.pgn
2r3k1/pp1b1pp1/4p3/2p3PP/4P3/3r1N2/P4K2/2R4R w - - 0 24	f3e5	134	0	5	runA150.pgn
8/1b1r4/1p3pk1/1P4Pp/3Np1P1/4P3/5P1K/R7 b - - 0 33	f6g5	-92	-49	22	runA150.pgn
8/1b1r4/1p4k1/1P4pP/3Np3/4P3/5P1K/R7 b - - 0 34	g6h5	-87	-43	22	runA150.pgn
8/1b1r4/1p6/1P4pk/3Np3/4P1K1/5P2/R7 b - - 1 35	h5g6	-94	-38	22	runA150.pgn
4r1k1/1p1br1b1/pPp4q/P1P1n1p1/8/2B1P2p/2QN1PB1/3R1RK1 w - - 0 27	g2e4	-166	-81	2	runA150.pgn
4r1k1/1p1br1b1/pPp4q/P1P1n1p1/4B3/2B1P3/2QN1P1p/3R1RK1 w - - 0 28	g1h1	-166	-68	2	runA150.pgn
r2q1rk1/1bpnbpp1/1p2pn1p/3pN3/p1PP4/1P2P1P1/PB2QPBP/RN3RK1 w - - 1 8	b3a4	15	-25	2	runA150.pgn
r2q1rk1/1bp1bpp1/1p2pn1p/3pn3/P1PP4/4P1P1/PB2QPBP/RN3RK1 w - - 0 9	d4e5	15	-26	2	runA150.pgn
3q2r1/5ppk/2p2n1n/ppPp1P2/3P3P/1P2PQ1K/2BB3P/6R1 w - - 2 40	d2e1	0	-84	2	runA150.pgn
q5r1/5ppk/2p2n1n/ppPp1P2/3P3P/1P2PQ1K/2B4P/4B1R1 w - - 4 41	e1g3	-41	-84	2	runA150.pgn
q7/1r3ppk/2p2n2/2Pp1P2/3P1BnP/p2BP2K/2Q4P/R7 w - - 8 48	h3g3	0	-66	2	runA150.pgn
q7/1r3ppk/2p2n2/2Pp1P2/3P1B1P/p2Bn1K1/2Q4P/R7 w - - 0 49	f4e3	0	-54	2	runA150.pgn
1r3rk1/2p2ppp/1q1pP3/2nP4/p2Q4/R5PB/5P1P/3R2K1 w - - 5 22	e6f7	-122	-69	9	runA150.pgn
1r4k1/2p2rpp/1q1p4/2nP4/p2Q4/R5PB/5P1P/3R2K1 w - - 0 23	h3e6	-108	-52	9	runA150.pgn
1r4k1/2p2rpp/1q1pn3/3P4/p2Q4/R5P1/5P1P/3R2K1 w - - 0 24	d5e6	-128	-55	9	runA150.pgn
6k1/3rb2p/1pr2p2/3p1R2/3P1B1P/P5P1/6K1/4R3 w - - 2 28	e1b1	53	8	2	runA150.pgn
6k1/3rb2p/1p3p2/3p1R2/3P1B1P/P1r3P1/6K1/1R6 w - - 4 29	b1b6	56	9	2	runA150.pgn
8/4q1k1/3p4/2p2Q2/P5N1/8/4n2K/8 b - - 2 58	e2d4	77	9	2	runA150.pgn
8/4q1k1/3p4/2p5/P2n1QN1/8/7K/8 b - - 4 59	e7f8	64	3	2	runA150.pgn
r1bqkb1r/1pp1n3/p1n5/3pNppp/3P4/2N1P2P/PPP2PB1/R1BQ1RK1 w kq - 0 7	e3e4	82	20	3	runA150.pgn
r1bqkb1r/1pp1n3/p1n5/4Nppp/3Pp3/2N4P/PPP2PB1/R1BQ1RK1 w kq - 0 8	c1g5	43	3	3	runA150.pgn
r1b1kb1r/1pp1n3/p1nq4/4NpBp/3Pp3/2N4P/PPP2PB1/R2Q1RK1 w kq - 1 9	e5c6	119	0	3	runA150.pgn
2r5/3qnpbk/p1rp3p/1p2pp1Q/1P2P3/P2P2PP/1B4B1/1R3R1K b - - 2 19	f7f6	48	-11	3	runA150.pgn
2r5/3qn1bk/p1rp1p1p/1p2pP1Q/1P6/P2P2PP/1B4B1/1R3R1K b - - 0 20	c6c2	31	-13	3	runA150.pgn
2r5/3qn1bk/p2p1p1p/1p2pP2/1P6/P2P1QPP/1Br3B1/1R3R1K b - - 2 21	d6d5	26	-17	3	runA150.pgn
r1bq1rk1/p4pbp/np2pnp1/2ppN2P/3P4/2P1B1P1/PP2PPB1/RN1QK2R b KQ - 0 6	f6h5	-133	-67	2	runA150.pgn
r1bq1rk1/p4pbp/np2p1p1/2ppN2n/3P2P1/2P1B3/PP2PPB1/RN1QK2R b KQ - 0 7	h5f6	-183	-77	2	runA150.pgn
r2qkb1r/p1p1ppp1/2p1bn2/8/5P1p/2pBPN2/P1PP2PP/1RBQK2R w Kkq - 0 6	h2h3	135	73	11	runA150.pgn
r2qkb1r/p1p1ppp1/2p2n2/8/5P1p/2pBPN1P/b1PP2P1/1RBQK2R w Kkq - 0 7	b1a1	134	76	11	runA150.pgn
r2qkb1r/p1p1ppp1/2p2n2/3b4/5P1p/2pBPN1P/2PP2P1/R1BQK2R w Kkq - 2 8	d2c3	149	72	11	runA150.pgn
r4rk1/3q1pp1/2p1pn2/p1R5/2Q2P1p/2PPPN1P/6P1/5RK1 w - - 0 18	f3e5	92	47	26	runA150.pgn
r4rk1/5pp1/2pqpn2/p1R1N3/2Q2P1p/2PPP2P/6P1/5RK1 w - - 2 19	c5c6	120	60	26	runA150.pgn
rq3rk1/5pp1/2R1pn2/p3N3/2Q2P1p/2PPP2P/6P1/5RK1 w - - 1 20	c4c5	161	69	26	runA150.pgn
r3kb1r/1p1n1ppb/pqpp1n1p/P3p2P/4P1P1/2NP4/1PP1QPBN/R1B1K2R b KQkq - 0 9	b6c7	-114	-71	2	runA150.pgn
r3kb1r/1pqn1ppb/p1pp1n1p/P3p2P/4PPP1/2NP4/1PP1Q1BN/R1B1K2R b KQkq - 0 10	e5f4	-132	-64	2	runA150.pgn
r4k2/1b1nbp2/1p1np1p1/1P1p2P1/3P1P2/4P3/1BRN1N2/5BK1 w - - 9 42	f1d3	96	39	4	runA150.pgn
2r2k2/1b1nbp2/1p1np1p1/1P1p2P1/3P1P2/3BP3/1BRN1N2/6K1 w - - 11 43	c2c8	103	33	4	runA150.pgn
2b2k2/3nbp2/1p1np1p1/1P1p2P1/3P1P2/3BP3/1B1N1N2/6K1 w - - 0 44	d2f3	91	16	4	runA150.pgn
1rbqk2r/ppn1ppbp/3p1np1/2p5/P3PP2/2PP1NP1/1P4BP/RNBQK2R w KQk - 1 5	e1g1	87	43	3	runA150.pgn
1rbq1rk1/ppn1ppbp/3p1np1/2p5/P3PP2/2PP1NP1/1P4BP/RNBQ1RK1 w - - 3 6	b1d2	98	39	3	runA150.pgn
1rbq1rk1/p1n1ppbp/1p1p1np1/2p5/P3PP2/2PP1NP1/1P1N2BP/R1BQ1RK1 w - - 0 7	f4f5	88	20	3	runA150.pgn
3q2k1/p1r3p1/1p5p/5Bb1/Pn1P4/2B2N2/1P4PP/RN1K3R b - - 0 23	d8d5	-215	-123	12	runA150.pgn
6k1/p1r3p1/1p5p/3q2b1/Pn1P4/2B2N2/1PB3PP/RN1K3R b - - 2 24	b4c2	-194	-123	12	runA150.pgn
6k1/p1r3p1/1p5p/3q2b1/P2P4/2B2N2/1PK3PP/RN5R b - - 0 25	d5e4	-227	-130	12	runA150.pgn
3r1k2/5pp1/1p6/3p3p/2nP4/4P1NP/5PP1/R4K2 w - - 2 31	g3h5	100	59	10	runA150.pgn
3r1k2/5pp1/8/1p1p3N/2nP4/4P2P/5PP1/R4K2 w - - 0 32	a1a7	112	45	10	runA150.pgn
3r1k2/R4pp1/8/3p3N/1pnP4/4P2P/5PP1/5K2 w - - 0 33	a7b7	153	47	10	runA150.pgn
r4rk1/pb1n1pp1/1p1Pp2p/2pn3q/8/3B1NB1/PPP2PPP/R2Q1RK1 w - - 10 15	f1e1	128	74	7	runA150.pgn
r2r2k1/pb1n1pp1/1p1Pp2p/2pn3q/8/3B1NB1/PPP2PPP/R2QR1K1 w - - 12 16	d3e2	148	62	7	runA150.pgn
r2r2k1/pb1n1pp1/1p1Pp2p/2pn1q2/8/5NB1/PPP1BPPP/R2QR1K1 w - - 14 17	d1d2	167	38	7	runA150.pgn
r2r2k1/pb3pp1/1p1Ppn1p/2q5/4n3/3BN1B1/PPP2PPP/R2QR1K1 w - - 3 23	d1f3	126	-1	2	runA150.pgn
r5k1/pb1r1pp1/1p1Ppn1p/2q5/4n3/3BNQB1/PPP2PPP/R3R1K1 w - - 5 24	e3g4	47	-2	2	runA150.pgn
2rqk2r/pp4pp/3bpn2/1QpbNp2/3P4/P3PP2/1P2N1PP/R1B2RK1 b k - 5 12	e8e7	65	17	3	runA150.pgn
2rq3r/pp2k1pp/3bpn2/1QpbNp2/3P4/P1N1PP2/1P4PP/R1B2RK1 b - - 7 13	d8b6	44	0	3	runA150.pgn
2r4r/pp2k1pp/1q1bpn2/1QpbNp2/1P1P4/P1N1PP2/6PP/R1B2RK1 b - - 0 14	c5d4	40	0	3	runA150.pgn
4R3/1r6/8/5k2/2K2n2/8/8/8 b - - 81 112	b7h7	48	1	4	runA150.pgn
5R2/7r/8/5k2/2K2n2/8/8/8 b - - 83 113	f5g5	47	0	4	runA150.pgn
