fen	played_uci	coda_cp	opp_cp	dur	src
4r1k1/pp2rRp1/2q3n1/3n2N1/P1p3P1/2N4P/1PP2Q2/5RK1 b - - 0 23	d5e3	-74	-26	3	runA150.pgn
6k1/pp2r1p1/1q6/P7/2p2nP1/2N1nNQP/1PP5/4R1K1 b - - 0 29	b6d6	-121	-62	2	runA150.pgn
6k1/pp2r1p1/3q4/P5N1/2p2nP1/2N1n1QP/1PP5/4R1K1 b - - 2 30	d6e5	-134	-62	2	runA150.pgn
5qk1/p3r1p1/8/Pp4P1/2p2n1N/2N1n1QP/1PP4K/4R3 b - - 2 34	f4h5	-136	-70	7	runA150.pgn
5qk1/p3r1p1/8/Pp4Pn/2p4N/2N1nQ1P/1PP4K/4R3 b - - 4 35	f8f4	-128	-56	7	runA150.pgn
6k1/p3r1p1/8/Pp4Pn/2p2Q1N/2N1n2P/1PP4K/4R3 b - - 0 36	h5f4	-122	-63	7	runA150.pgn
2kr3r/1p1qb3/p1n1np2/P1p1p2p/2PpP1pP/2P3P1/1PN2PB1/R2RBQK1 b - - 8 17	d7e8	95	28	3	runA150.pgn
2krq2r/1p2b3/p1n1np2/P1p1p2p/1PPpP1pP/2P3P1/2N2PB1/R2RBQK1 b - - 0 18	d4c3	141	46	3	runA150.pgn
2kRq2r/1p2b3/p1n1np2/P1p1p2p/1PP1P1pP/2p3P1/2N2PB1/R3BQK1 b - - 0 19	e7d8	78	17	3	runA150.pgn
r1b2rk1/p2qb1p1/np1p4/2pPp2p/2P1PpnP/2N5/PP1BBPPN/R2QK2R w KQ - 2 12	h2g4	55	13	5	runA150.pgn
r1b2rk1/p2qb1p1/np1p4/2pPp3/2P1PppP/2N5/PP1BBPP1/R2QK2R w KQ - 0 13	d1c2	27	-27	5	runA150.pgn
r1b1qrk1/p3b1p1/np1p4/2pPp3/2P1PppP/2N5/PPQBBPP1/R3K2R w KQ - 2 14	c3b5	35	-19	5	runA150.pgn
1k1b3r/1ppb3p/p2p4/4r3/5N2/P5P1/1PP3BP/1K2R2R b - - 5 26	h8e8	80	28	18	runA150.pgn
1k1br3/1ppb3p/p2p4/4R3/5N2/P5P1/1PP3BP/1K5R b - - 0 27	e8e5	88	36	18	runA150.pgn
