engine	set	fen	static	v4	v6	v8	v10	v12	v14
coda	blind	rn3bnr/4kppp/p3p3/1q3P2/3P4/3Q1NP1/PPP4P/R1B1K2R w KQ - 1 11	256	38	78	98	20	0	15
coda	blind	2r2rk1/1q4pp/4Q3/2b2p2/8/p7/P4PPP/B1R2RK1 b - - 0 23	-129	6	17	40	88	50	70
coda	blind	3r4/pb3kbp/1p3pp1/2p3n1/P1N5/1P1N4/1BP2PPP/4R1K1 w - - 2 19	0	62	72	77	4	8	0
coda	blind	r2q1rk1/pp1b1p2/6pp/n1P5/4pNP1/4P3/Pb1NBP1P/R2QR1K1 w - - 0 17	-17	165	108	46	63	94	82
coda	blind	rr2b1k1/5pb1/3p2pp/qpn5/3pPN1P/P2P2P1/3N1PB1/1RQ1R1K1 w - - 0 27	-151	-43	-13	-72	-119	-88	-92
coda	blind	rnr1q1k1/2p2pbp/bp2pnp1/p1PpN3/N2P4/PP2P3/1BQ1BPPP/2R2RK1 w - - 3 12	177	120	166	122	71	65	90
coda	blind	rnr1q1k1/2p2pbp/1pPnp1p1/p2pN3/N2P4/PP2PP2/1B2Q1PP/2R2RK1 w - - 1 15	93	-10	65	25	83	94	37
coda	blind	r2nr1k1/2p2qbp/1p2p1N1/p3Pp2/3P4/PP5Q/1B2N1RP/6K1 w - - 20 34	190	379	400	143	69	171	102
coda	blind	r1bqkb1r/1pp3pp/2n1pp2/p2p1n2/P4P2/1PN2NPB/1BPPP2P/R2QK2R b KQkq - 1 4	12	23	-26	41	82	128	116
coda	blind	r1qr2k1/pp2bpp1/2n1pn1p/2pp1b2/P4B2/1QPPPN1P/1P1NBPP1/R4RK1 b - - 0 8	94	91	73	78	59	65	60
coda	blind	1r3rk1/1bq5/pp1bpn1p/2pP1pp1/1nP5/4PPPN/PBQ1N1BP/2R2RK1 w - - 1 18	37	118	27	25	25	45	49
coda	blind	1r3rk1/1bq5/pp1b1n1p/5pp1/1pp5/4PPPN/1B1QN1BP/2R2RK1 w - - 0 21	144	7	86	128	121	74	22
coda	blind	4rrk1/1b6/pp3n1p/5pp1/1p6/1q2PPPN/1B1QN1BP/5RK1 w - - 3 24	69	54	231	67	7	-13	87
coda	blind	b7/p5qk/1p2Qbpp/2r2p1P/3p1P2/1P1B1N2/P4RP1/6K1 b - - 1 25	84	24	12	39	102	12	60
coda	blind	r2q1rk1/pp3pp1/2p2n1p/8/2b1PP2/2R3PP/PP1B2BK/R2Q4 b - - 0 13	-197	-153	-149	-66	-91	-82	-28
coda	blind	r2q1rk1/ppn2pbp/2pp2pn/4p3/1PP3b1/1QNPP1PN/P4PBP/1RB2RK1 w - - 1 8	-11	30	78	63	63	67	68
coda	blind	r1q2rk1/1b4pp/1p1p4/5p2/PpP1pP2/3RP1P1/1PN3BP/R2Q2K1 b - - 0 19	-208	97	77	-72	-57	-48	-49
coda	blind	2rqrbk1/ppp2ppp/6b1/P2pN3/1n1PnBP1/2N4P/1P2PPB1/R2Q1RK1 b - - 6 14	-33	-27	0	-45	-89	-55	-94
coda	blind	r2qk1nr/5ppp/bp2p3/p1b5/3pPP2/6PP/PPP1Q1BK/RNBR4 w kq - 2 10	69	151	108	87	13	90	73
coda	blind	6k1/8/1p2p1p1/1P3n2/5P1p/1P1R2PP/1r4N1/6K1 w - - 0 31	29	125	20	36	42	59	73
coda	blind	6rk/pp1n3p/2p5/2P1p3/1P4Q1/8/P5BP/6RK b - - 0 30	-553	98	141	156	143	108	70
coda	blind	2r3k1/pp1b1pp1/3rp3/2p3PP/3nP2N/3P4/PB3K2/2R4R w - - 1 22	61	-37	-39	-46	-45	-64	-35
coda	blind	8/1b1r4/1p3pk1/1P4Pp/3Np1P1/4P3/5P1K/R7 b - - 0 33	-175	-88	-119	-90	-66	-65	-90
coda	blind	4r1k1/1p1br1b1/pPp4q/P1P1n1p1/8/2B1P2p/2QN1PB1/3R1RK1 w - - 0 27	-342	-372	-199	-149	-126	-145	-182
coda	blind	r2q1rk1/1bpnbpp1/1p2pn1p/3pN3/p1PP4/1P2P1P1/PB2QPBP/RN3RK1 w - - 1 8	54	23	17	10	0	7	7
coda	blind	3q2r1/5ppk/2p2n1n/ppPp1P2/3P3P/1P2PQ1K/2BB3P/6R1 w - - 2 40	175	133	105	36	26	-1	0
