engine	set	fen	static	v4	v6	v8	v10	v12	v14
coda	blind	r2q1rk1/1bp2ppp/ppn2bn1/3pp3/3P4/1PNBPN1P/PBP2PP1/R2QR1K1 w - - 0 10	17	-31	58	49	91	39	1
coda	blind	rnb1k1nr/p1pp2pp/1p1bpq2/5p2/2P5/3PPN1P/PP1N1PP1/R1BQKB1R w KQkq - 2 3	107	139	90	143	70	76	74
coda	blind	2q2rk1/5pbp/3Q2p1/pp6/5R1P/2PR4/6P1/6K1 w - - 2 30	-105	-94	-53	-93	-110	-105	-140
coda	blind	4r1rk/pp5p/2n2p2/3p1N2/5q1P/PR6/5PP1/1QR3K1 w - - 3 27	18	115	188	-2	0	-26	-36
coda	blind	1k6/2pqr1p1/Br1npp2/Q2p3P/3P1P2/1P2PNR1/6R1/2K5 b - - 0 32	-339	113	-255	124	0	0	0
coda	blind	7r/q1k2p2/Bpr1p1p1/1Qbp4/P4P1p/1RP4P/6P1/1R5K w - - 1 32	-240	-40	39	-35	-100	-34	-101
coda	blind	2kr3r/pp2qp1p/2p1bnpQ/3p4/Pb1N4/3P2PP/1PP1NPB1/R4K1R w - - 4 12	-75	-81	-86	-56	-55	-113	-113
coda	blind	2krr3/ppq3np/3bp1p1/3p4/P7/2PN2PP/1P1Q1PBK/4RR2 w - - 4 23	172	0	83	169	160	152	164
coda	blind	r2q1rk1/1p2bppp/p1n1bn2/2p5/P1N1P2P/1P2p1P1/1BP2PBN/R2Q1RK1 b - - 0 10	76	156	81	103	75	83	100
coda	blind	rn1qk2r/pp2bpp1/2p1pn1p/2Pp1b2/3P4/2N2PPN/PP2P1BP/R1BQ1RK1 w kq - 0 6	102	124	155	96	84	95	62
coda	blind	q3r1k1/4np1p/4p1p1/2p1N1B1/4nQ2/6P1/1P3P1P/2R3K1 b - - 2 24	-45	239	147	169	177	105	121
coda	blind	r1bq1rk1/p3n1bp/np2p1p1/3p4/1p1P4/P1N1PNP1/2P2PB1/R1BQK2R w KQ - 0 8	26	88	114	77	96	75	71
coda	blind	4r1k1/r6p/1R2p1p1/3p1n2/3P1P2/B2PP3/5P2/R5K1 w - - 1 23	172	-5	22	109	132	123	95
coda	blind	6k1/5p1p/1q2p1p1/2b1P2P/3rBP2/3P2P1/2R1Q2K/8 b - - 6 32	-90	-49	-104	-98	-65	-116	-126
coda	blind	6k1/1R3p1p/4p3/4P2p/5P2/3PqQPK/2r2bB1/8 b - - 9 44	4	-20	-50	-101	-91	-83	-90
coda	blind	1r6/2p3k1/1n4p1/3p3p/5q2/p1PP1P1B/1P2RQ1P/7K w - - 0 24	-105	-120	-49	-23	-66	-64	-65
coda	blind	3r1rk1/p3bpp1/bp5p/1Npq4/P2p4/1PP3PP/3B1P2/RQ2R1K1 w - - 0 19	-142	-194	40	85	64	57	83
coda	blind	r1bqkb1r/pppp1ppp/2n1p3/8/3P1B2/2P2N2/PP1nPPPP/R2QKB1R w KQkq - 0 2	196	135	163	159	167	155	155
coda	blind	r2qb1k1/2p1r1p1/1p2p2p/pP1pBp1P/P2P2n1/2P1P3/2B1QPP1/RR4K1 w - - 3 21	193	97	111	98	110	80	112
coda	blind	rnr3k1/pb1qnpb1/1p1p2pp/1N6/5B2/1Q3N1P/PP2BPP1/R4RK1 b - - 5 11	121	84	-13	38	85	84	104
coda	blind	3rkb1r/1bq1pppp/p4n2/1p2N3/2P5/4P3/PQ2BPPP/RN3RK1 b k - 2 12	55	-51	-17	57	10	20	10
coda	blind	2r3k1/1q3pp1/pP2p3/4b2p/PQ6/3RP3/5PP1/3N3K b - - 0 25	17	134	242	-83	-76	-64	-101
coda	blind	2r2bk1/pq3pp1/3Np2p/3nP3/Pp1P4/4B2P/1P2QPP1/R5K1 b - - 0 28	-295	-150	43	19	71	61	68
coda	blind	8/5p1k/4pqpp/p2n4/Pp1PQ3/1P3P1P/3B2P1/6K1 b - - 1 38	80	70	16	89	63	41	65
coda	blind	2r2rk1/1b2bppp/pB2p3/3pq3/P3n3/2P3P1/1PN2PBP/R2QR1K1 b - - 0 15	49	36	33	20	44	36	50
coda	blind	r1bqk2r/4bpp1/p1n2n2/1pp1pP2/2PpP2p/3P2QN/PP1NB1PP/R1B2RK1 w kq - 0 9	-43	126	9	108	49	55	37
coda	blind	r2r4/1p2qp1k/1Pp3pp/p7/1n2pN2/1P2P2P/P4PP1/1Q1R1RK1 b - - 2 19	21	44	30	30	43	9	47
coda	blind	2r3k1/1p3p2/1P1r4/3p2P1/3Rp2P/1P2P2q/P2Q1P2/3R2K1 b - - 4 32	252	153	263	195	42	65	34
coda	blind	8/1p1Q4/1P3p2/8/4p1kP/1P2Pq2/P1r2P2/4RK2 b - - 9 47	325	208	276	243	303	0	0
coda	blind	r1q1rk2/1pp2p1Q/1bnp1N1p/8/1PPP2bp/4P1P1/3B2BP/1R5K b - - 3 20	-171	-59	-166	-26	0	-2	56
coda	blind	r4rk1/1p3pbp/4b1p1/pN6/n4PP1/2P2B1P/P2R1BK1/4R3 w - - 1 23	342	148	166	113	48	90	38
coda	blind	r1bqkbnr/1pp2p1p/p1n5/4p2N/4N3/3P4/PPP3PP/R1BQKB1R b KQkq - 1 4	43	21	49	95	108	92	75
coda	blind	r5r1/1ppkq2p/p1nbb3/5R2/3pN1B1/8/PPP3PP/R1BQ2K1 b - - 2 13	144	-50	99	109	156	222	285
coda	blind	7r/pp1k2p1/4pn2/qp2p3/PbQ4p/1PB1P2P/2Pr2P1/R4RK1 w - - 0 16	-36	-32	44	2	-41	-43	-71
coda	blind	1r2r1k1/1b5p/pq1pp1p1/1pp2p2/2P2P2/1P1P4/P2QBPPP/3RR1K1 w - - 2 19	16	77	69	80	60	64	72
coda	blind	b2r4/2p2pp1/4k2p/1P2N3/4n3/8/1KR1BPPP/8 w - - 5 22	89	138	18	72	65	77	92
coda	blind	rqbn1rk1/5ppp/3ppb2/1NnP4/p1PNP3/1p1BB2P/1P1Q1PP1/R4RK1 b - - 0 19	-121	-2	17	52	13	71	64
coda	blind	2kr3r/pbqnbpp1/2np4/2p1p1p1/1P2P2P/P2PBNQB/3N1P2/2R1K2R b K - 1 14	9	-9	-19	-5	44	23	5
coda	blind	rnbqkb1r/1p1pnp1p/p3p1p1/2p5/4P3/2P5/PPBPQPPP/RNB1K1NR w KQkq - 0 2	73	116	58	70	59	62	52
coda	blind	1r2qrk1/R2pbppp/2b1p1n1/4P3/1nBP4/2Q1BN1P/1P1N1PP1/5RK1 w - - 9 18	34	59	51	54	30	29	20
coda	blind	4bk2/6p1/1p3p2/p3Q2p/Pq2P2P/2N2PK1/6P1/8 w - - 0 32	-91	-102	-67	-36	-52	-57	-57
coda	blind	3Qbk2/6p1/1p3p2/p2N3p/q3P3/5P2/6PK/8 w - - 0 43	26	-87	-46	-50	-115	-112	-85
coda	blind	rn1q1rk1/4bppp/1pp1pn2/p1Pp1b2/1P1P1P2/P1N1PN2/6PP/R1BQKB1R w KQ - 0 6	-68	-160	-118	-80	-16	-65	-66
coda	blind	6k1/4n1p1/2p1Ppq1/2Pp4/3P2p1/6N1/1r4PP/3QRK2 w - - 0 30	-133	6	-55	-15	-99	-131	-134
coda	blind	r5k1/1pp2pp1/4b3/prq5/P3PQ1p/1P5P/2P3P1/1K1R1R2 w - - 0 20	-267	-135	349	0	0	0	0
coda	blind	r4qk1/1pp2pp1/4b3/1P1R2Q1/p3P2p/1P5P/2P3P1/1K3R2 w - - 4 23	379	49	445	17	-133	-154	-156
coda	blind	6k1/2p5/1p4p1/1P1K1p2/5qP1/1P1Q3P/8/8 w - - 0 40	80	11	-31	-9	-136	-78	-51
coda	blind	r2qkb1r/pppb1p1p/2np2pn/4p3/1PP5/P2P2P1/1B2PPBP/RN1QK1NR b KQkq - 1 3	-61	-102	-88	-96	-100	-96	-96
coda	blind	3rr1k1/1p3pp1/p2q1n1p/4p3/P2p4/1Q1P2P1/1P1NPPKP/R1R5 b - - 2 19	65	43	43	34	43	45	55
coda	blind	5rk1/p2r1qp1/3p3p/Ppp5/5n2/2P2N1P/1P1QRPPK/3R4 w - - 8 23	-70	97	65	88	99	109	144
coda	blind	r3k2r/2B5/p1b1pb2/3p2pp/1PP5/6RP/P3BP2/3RK3 w kq - 0 20	187	234	135	125	119	88	97
coda	blind	rn1qk2r/p1p1pp1p/1p2bnpb/P2p4/8/1QP1PN2/1P1P1PPP/RNB1KB1R w KQkq - 1 3	27	86	46	75	78	62	103
coda	blind	r2r1k2/1pq2p1Q/2n2p1p/p1b5/2N1B2P/PP6/5pP1/R2R1K2 w - - 4 22	158	138	0	0	0	84	-135
coda	blind	r2q1rk1/p3npbp/1p4p1/1N6/3PpB2/1R4P1/P3PP1P/3QK2R w K - 0 14	57	-27	-45	-50	-53	-52	-59
coda	blind	rnbqk2r/1ppp2bp/p3p1p1/1P3p2/P3nP2/2N1P3/1BPP2PP/R2QKBNR w KQkq - 1 4	38	23	38	42	62	62	58
coda	blind	5r2/2kpr3/1p5p/p3N1p1/P2R4/2R3P1/2P2n1P/6K1 b - - 3 24	20	36	124	157	127	164	126
coda	blind	2br4/1p2q1kp/p1p2pp1/P1P5/1Q6/6P1/4PPBP/5RK1 w - - 2 28	42	15	59	85	93	69	57
coda	blind	2r1qrk1/5ppp/Q1b5/p7/2n5/2N3P1/1P2PP1P/R1B2RK1 b - - 2 21	108	-55	231	55	75	97	123
coda	blind	2rqr1k1/p2n1pb1/bpp2npp/3pp3/2PP1N2/BP2P1PP/P2N1PB1/2RQR1K1 w - - 0 11	35	62	59	48	56	76	82
coda	blind	r2qbrk1/1pp1bppp/4p3/n2p1n2/p2P1P2/P1NNP1P1/1PP3BP/R1BQR1K1 w - - 3 9	-77	-81	-100	-62	-90	-92	-137
coda	blind	r4rk1/1pp2ppp/2b1p3/n1qN1n2/5P2/PP2P1P1/6BP/R1BQR1K1 w - - 1 14	22	-26	-152	-114	-136	-126	-98
coda	blind	1rbqk2r/p1ppp1bp/3n2p1/np1P1p2/P7/2P1N1P1/1P1NPPBP/R1BQK2R b KQk - 0 7	15	77	-26	-12	-136	-114	-164
coda	blind	1r1q1rk1/3pp1bp/4b1p1/N1B5/P3p3/1P4P1/3QPP1P/1R3RK1 b - - 2 20	-60	80	-189	-186	-152	-206	-146
coda	blind	r2qk2r/1b1nbpp1/p1n1p2p/1ppPP3/8/1BP2N2/PP2Q1PP/RNB2RK1 b kq - 0 9	-9	-4	66	0	-13	-40	-31
coda	blind	6k1/5pp1/p6p/1pp4n/8/2P2P2/Pq5P/3RQ2K b - - 1 25	-21	14	-124	-114	-203	-208	-80
coda	blind	8/5pk1/1r3n1p/4p3/3nP3/3P2PP/1q2NQBK/5R2 w - - 7 25	8	154	94	90	122	128	90
coda	blind	8/1bp5/1p1p1kpp/p1r5/P3p3/1P2R1PP/2PR1P2/6K1 w - - 0 29	132	135	110	71	119	117	103
coda	blind	8/1bp5/1p1p1k2/p4rpp/P7/1PP1RpPP/8/4R1K1 w - - 0 33	-15	139	158	101	91	89	78
coda	blind	r2q1rk1/p2n1pbp/b2ppnp1/p1p5/2PP4/2N2NP1/QP2PPBP/R1B2RK1 b - - 1 8	12	46	113	45	18	62	29
coda	blind	1r3rk1/2pb2pp/3p2n1/p7/2P1PP1q/2N4P/PP1QNP2/1R2K2R w K - 1 17	21	2	-38	1	0	32	27
coda	blind	6k1/2N4p/3p2n1/R7/8/1PN4b/P4r2/3K4 w - - 0 31	48	1	21	46	58	62	87
coda	blind	rqb1k2r/pp2pp2/8/2pp1n2/3b4/3P1N2/PPP1N1PP/R1B1QR1K b kq - 8 14	82	16	73	120	125	129	124
coda	blind	8/8/1p1r2k1/1R6/6KP/8/5P2/8 w - - 1 49	59	53	58	65	64	47	46
coda	blind	8/5k2/p7/P7/3B2n1/8/5PK1/8 b - - 5 50	-168	-11	-2	-3	-5	-6	-6
coda	blind	6k1/R7/5rNp/2n2P1p/pp6/1n6/B5PK/8 w - - 4 69	-27	2	16	0	-91	-137	-120
coda	blind	8/3n4/8/2R5/p7/8/k3B1r1/3K4 w - - 8 125	10	-6	-36	0	-12	-27	-24
coda	blind	5rk1/pb5p/2qb4/4p3/2p2p1N/1PP5/P2Q2PP/R4RK1 w - - 0 25	48	181	24	89	113	59	25
coda	blind	r7/4r1k1/2p1npp1/4n2p/P2qP3/1Q2N1PP/2P3BK/R4R2 w - - 3 31	-43	25	-133	-93	36	-16	-58
coda	blind	r4k1r/1ppq1pp1/p1nb1nb1/6N1/P1NPp3/1QP4p/1P2B1PP/R1B2RK1 w - - 0 14	10	64	28	113	106	70	5
coda	blind	8/3r4/p7/1p1B1k2/PPP2p2/4p2r/4R2P/2B2K2 w - - 0 33	-31	-76	-119	-82	-155	-74	-108
coda	blind	r1bqk2r/1pp2p2/p1n1p1pp/3p4/P3PB2/2b5/1PP2PPQ/2KR1B1R w kq - 0 11	-200	-27	-100	-64	-22	15	19
coda	blind	2rr2k1/1pq2pp1/p1n5/P2nBP1p/RbN1Q3/1P1P2P1/2P4P/2KN1R2 b - - 0 28	-145	139	-63	-35	-28	-33	-45
coda	blind	3r2k1/1pr2p2/p4npQ/P3NR1p/1R1q4/1P1P2P1/2P4P/2KN4 b - - 0 35	-207	99	40	-200	-136	-308	-130
coda	blind	q7/3r1p1k/2Nbbnpp/PP6/3P4/6P1/3B1P1P/RR4KB b - - 2 24	128	260	11	171	148	153	95
coda	blind	2r5/2RK4/8/3bk3/8/8/8/8 b - - 59 88	19	64	82	71	71	66	64
coda	blind	r1b2rk1/ppq1ppbp/6p1/8/1N1n1P2/3P2P1/PB2P1BP/R3QRK1 w - - 0 12	-10	30	110	38	85	83	8
coda	blind	2r1r1k1/1ppbqpbp/1nnp2p1/p7/P1PP1B2/1BN2P2/1P1QN1PP/R3R2K w - - 1 13	123	246	207	221	203	143	156
coda	blind	5b2/5p2/2k3p1/3p3p/1P1P4/1KB1rP1P/6P1/R7 w - - 9 50	105	330	160	161	121	97	113
coda	blind	q2r4/5pk1/3P2p1/p1p2p2/2P2P2/2P4P/P3Q2P/1R4K1 b - - 0 32	-77	-44	-162	-100	-64	-26	-45
coda	blind	3q3r/r4kp1/p1pn1p2/P2p1b2/3P3p/1PNN1R1P/2PQ2P1/R5K1 b - - 8 17	31	-4	101	0	0	0	94
coda	blind	2q1r3/r5k1/p1p2pp1/P2p4/1P1Pn1Np/2P2R1P/2Q3P1/R5K1 b - - 2 24	121	77	68	144	87	130	160
coda	blind	8/2k1q3/p1p2p2/P2p4/1P1P2QP/2P3P1/2r3N1/6K1 b - - 0 45	212	246	134	135	22	37	25
coda	blind	4B3/4R3/8/8/2bK2pk/8/7r/8 b - - 3 96	110	122	114	114	68	79	80
coda	blind	r1bqk2r/ppp2pb1/2nppnp1/7p/3P4/1P3NP1/PBP1PPBP/RN1QK2R w KQkq - 2 4	61	59	86	92	129	116	96
coda	blind	6k1/1pp2p2/5np1/4r3/2P5/1P2NPPp/r4P1P/3RR1K1 w - - 0 23	140	54	77	98	121	119	120
coda	blind	1r6/4npk1/2p3p1/8/2P5/4NPPp/5P1P/R4K2 w - - 1 32	184	159	135	73	115	72	98
coda	blind	r2qkb1r/3b3p/ppnp2p1/2p1p3/1PP1N3/PQ2P3/1B1PBP1P/R3K2R b KQkq - 0 14	-112	-83	11	-169	-128	-111	-115
coda	blind	r5k1/1b4pp/1p2p3/p4p2/2P1pq2/PP6/1B2Q1PP/3R3K w - - 0 23	-120	235	0	22	100	85	0
coda	blind	rnbqk2r/pp2ppbp/2p2np1/8/2pP3N/1P4P1/P3PPBP/RNBQ1RK1 w kq - 0 5	31	49	50	4	67	74	92
coda	blind	5r2/1p4pk/1Bp1qpnp/pPP1r1n1/P2RP3/2NR3P/6PK/3Q4 w - - 6 39	-86	-42	-14	0	0	51	0
coda	blind	r3k2r/1pqn1pp1/2p2n1p/p1b1p1B1/2N1P2P/P5PB/1PP1QP2/2KR3R b kq - 1 12	-233	-37	-11	-34	-145	-142	-149
coda	blind	rn2kbnr/1bqp1ppp/p3p3/1pp5/4PPP1/P1NPB3/1PP3BP/R2Q1KNR w kq - 6 6	85	72	76	71	80	49	20
coda	blind	3r4/p4k2/3n2p1/2pP1p2/prPnp2P/3P2B1/KP1R3P/4R2B w - - 2 30	-111	-56	26	10	-5	74	45
coda	blind	8/p3P1R1/1r1n1k2/2pP1p1p/2r5/P7/K6P/4R2B w - - 1 40	180	238	348	22	145	134	60
coda	blind	r2qr1k1/5pp1/1pp2nbp/1B1p4/1n1P2P1/1P2PP2/P2BN1P1/R2Q1RK1 b - - 1 16	64	-75	-44	-76	-94	-136	-108
coda	blind	rn1qkb1r/1bpppppp/1p6/p5N1/3P3P/3B4/PPP2PP1/R1BQK2R b KQkq - 3 5	-78	-81	-110	-144	-53	-104	-71
coda	blind	2r2rk1/ppq2p1p/3b1pp1/3Q4/P7/NP2P1P1/5P1P/R4RK1 b - - 2 13	132	273	85	101	115	104	98
coda	blind	8/5pk1/4p1pp/1Q6/1P1q4/P5PP/3r1P2/5RK1 w - - 3 31	91	83	11	16	86	64	26
coda	blind	r1bq1rk1/p3ppbp/5np1/1B1p4/1P1P4/4P3/1BP2PPP/R2QK1NR b KQ - 0 8	6	188	455	171	191	80	66
coda	blind	8/5p1p/1n2k1p1/p2pN3/3P4/2K5/2P2PPP/8 b - - 3 28	63	95	83	144	138	105	107
coda	blind	2kr2r1/1pN2p2/2n1b2p/3q2b1/P2PpBnN/2P5/2Q1BPP1/R3K2R b KQ - 0 15	-36	-107	4	98	172	109	183
coda	blind	2k2rr1/1p6/2n1p2p/P2Q4/3P1bnN/2P3P1/4BP2/R4RK1 b - - 0 21	-78	-69	-14	45	86	45	41
coda	blind	3b4/1p6/2b4k/6p1/2P1PpPp/2NP3P/5R2/r4BK1 w - - 0 44	-14	-183	-123	-113	-80	-96	-90
coda	blind	8/1p6/2b4k/b2N2p1/r2PPpPp/R6P/8/5BK1 w - - 2 49	-143	-48	-70	-121	-165	-78	-101
coda	blind	3b1k2/1p6/2b1P3/3N2p1/3P1pPp/7P/5KB1/8 w - - 5 54	-63	-17	-64	-39	-68	-44	-80
coda	blind	r4r2/1p2q1pk/3p3p/2n2p2/p1BBbP2/P3P2P/1PR1Q1P1/3R2K1 w - - 3 24	106	80	52	83	73	65	62
coda	blind	b1rqr1k1/4b1pp/1p2p2P/p3Pp2/2PPn3/P2BN1P1/1B6/2RQR1K1 w - f6 0 22	-96	67	62	2	21	50	10
coda	blind	2rr2k1/1p3pb1/2n3pp/p1P2q1n/P1BP4/1PP2P2/1B1p1RN1/R2Q2K1 b - - 7 20	150	147	126	57	239	135	77
coda	blind	2rr2k1/1p3pb1/2n3pp/p1P2n2/P1BP1P2/1PP5/1B1R1KNq/R2Q4 b - - 0 25	319	101	149	61	125	120	93
coda	blind	1rbqr1k1/ppp2pbn/3p3p/4Pn1P/1PP3p1/PN2P3/1BQ1BPP1/R2NK2R b KQ - 0 14	-10	-10	57	37	92	-9	75
coda	blind	1rb1r3/p1p2pk1/1p5p/1P1P3q/6p1/P3PNP1/2Q2PB1/R4RK1 b - - 0 26	-564	-65	4	109	10	-13	-20
coda	blind	1r1q2rk/p1n1pb1p/2np4/Ppp1bpB1/2P2N1P/3P1N2/3Q1PP1/1R1BR1K1 w - b6 0 17	114	145	222	269	108	129	142
coda	blind	6rk/2n1pb2/1pBp1q1p/5pN1/2Pp1P1P/3P4/3Q2P1/4R1K1 w - - 0 26	7	186	408	82	148	88	71
coda	blind	4q3/6k1/3R4/6P1/2P1PP2/5rK1/6P1/8 w - - 0 42	-492	239	161	111	62	10	2
coda	blind	r2qk2r/1bpp1pp1/1p3n1p/p1b1p3/2P1P3/P2P2P1/1P1BNPBP/R2Q1RK1 b kq - 0 7	-91	-97	-95	-51	-85	-73	-120
coda	blind	8/1b1Nr1k1/5bp1/p4r2/PpB1pP1p/1P2K2P/5RP1/3R4 b - - 17 37	105	-19	107	-95	0	0	0
coda	blind	8/6k1/8/6P1/6KP/1B6/8/4b3 b - - 2 71	-31	-20	-31	-36	-22	-65	-76
coda	neutral	rn1qk1nr/pp1b1pbp/3p2p1/2p1p3/2P2P2/P3PN2/1P1PB1PP/RNBQK2R w KQkq - 0 3	-12	1	-38	-38	-50	-52	-14
coda	neutral	rn1qk1nr/pbp1bppp/1p2p3/8/4p3/2PP2P1/PP1N1PBP/R1BQK1NR w KQkq - 2 3	43	41	35	58	19	14	9
coda	neutral	8/8/8/1r4k1/6p1/3R2K1/8/8 b - - 3 61	5	-8	0	1	6	4	0
coda	neutral	r1bqk2r/pp3ppp/2n2n2/3pB3/4P3/1P3PP1/P1P4P/R2QKBNR w KQkq - 1 7	92	150	-35	-21	1	94	101
coda	neutral	r2q1rk1/2pb1pb1/3p2pp/Q2N4/1n1NP3/5PP1/1PP3BP/2KRR3 w - - 0 18	-341	-113	41	38	-80	24	34
coda	neutral	r1r3k1/1pq2ppb/p4n1p/P1npb3/3N4/2PPBNP1/4P1BP/R2Q1R1K b - - 1 15	76	51	-43	-73	-73	-66	-52
coda	neutral	r1bqk2r/1p1nbppp/2p2n2/8/p1N1p2N/1P2P3/PBP1BPPP/R2Q1RK1 b kq - 1 7	59	20	-177	39	95	23	69
coda	neutral	rnbqk2r/1p2ppbp/p1p2np1/3p4/2PP4/N4NP1/PP2PPBP/R1BQK2R w KQkq - 1 3	50	76	22	51	54	29	29
coda	neutral	rnbqkb1r/p2p2pp/1p2pn2/5p2/8/1P3N2/PBP1PPPP/RN1QKB1R w KQkq - 0 3	48	30	25	23	36	73	65
coda	neutral	2rn4/5p2/4p1p1/3pP2p/pP1N1P2/2Pk2PP/1K6/5R2 w - - 15 41	15	24	26	4	0	0	0
coda	neutral	6k1/Qp2r2p/n2R1pp1/4p3/P1P1P3/4B1Pq/5P2/6K1 b - - 3 27	-258	-226	-381	-230	-246	-249	-329
coda	neutral	r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/1PP2NP1/PB1PQPBP/RN3RK1 b kq - 2 5	-18	-23	-16	31	25	-16	-4
coda	neutral	3r1rk1/2pq1bb1/pp5p/3p1np1/3P1N2/P1N1PQ1B/1PP2P2/2K1R2R w - - 0 17	268	131	79	87	106	89	113
coda	neutral	rnbqk1nr/p3bp1p/4p1p1/1pppP3/5P2/3P2P1/PPPB2BP/RN1QK1NR b KQkq - 2 5	66	54	88	89	107	100	92
coda	neutral	r3k2r/1bq1npp1/pp1bpn1p/3pN3/3P1PP1/2PBPQ2/1P1N3P/R1B1K2R b KQkq - 2 9	25	-22	-7	-27	-8	-13	-13
coda	neutral	1r3nk1/6bp/rn1p2q1/p1p1P3/p1P2p2/5N1P/1PQN2P1/R1B1R1K1 w - - 1 21	45	51	108	87	35	4	3
coda	neutral	2bqk3/1p3p2/1R1p3r/2pNp1p1/2PnPnPp/r1NP3P/PQ3PB1/1R5K b - - 8 19	109	22	52	76	0	0	0
coda	neutral	r1bq1rk1/p3ppbp/1Pn2np1/3p4/8/P1N1PN2/1PP1BPPP/1RBQK2R b K - 0 6	-27	-35	-26	-89	-53	-95	-92
coda	neutral	8/8/8/3k4/3p1K2/2rB4/8/3R4 w - - 13 96	30	28	22	30	18	20	19
coda	neutral	3qr1k1/5pb1/1p2n1pp/p2p1n2/3Pp2P/4P1P1/PP2NPN1/2BQ1RK1 b - - 0 16	192	205	157	167	198	179	204
coda	neutral	8/7R/8/p2pk3/8/1PP5/1K5p/7r b - - 25 59	80	68	55	10	17	38	24
coda	neutral	1k1r1br1/1bp5/1n1p4/p2PpBqp/P1P1P1p1/8/2Q2PPB/1R3RK1 w - - 1 22	34	7	-131	-100	-111	-147	-169
coda	neutral	rn3r2/1b2qpp1/p2bp1k1/1p1P2N1/2P5/4B3/P4PPP/2RQ1RK1 b - - 0 15	-130	-170	-185	-94	-41	-142	-178
coda	neutral	r1q1kb1r/5n2/2p1bp2/ppn1p1pp/4P3/2N3PP/PPPBQPB1/R2R1NK1 w kq - 4 13	-10	-99	-145	-106	-99	-94	-90
coda	neutral	1r2brk1/p1q3p1/4p2p/npp1N3/4RP2/2Q3PP/2P3BK/4R3 w - - 0 21	-11	-11	-36	0	-16	0	0
coda	neutral	r3kb1r/pp1n1ppp/1qp1p1bn/3p4/2PP1PP1/5N1P/PP2P1B1/RNBQK2R b KQkq - 2 5	88	54	-29	-1	-17	-3	-10
coda	neutral	r1b1k1nr/p1ppqppp/2n5/2p1p3/8/3PP3/PPP2PPP/1RBQKBNR w Kkq - 0 3	17	-3	23	20	-3	10	11
coda	neutral	R7/1r3p2/1p4pk/2p4p/2P1PPbP/4K3/3N2P1/8 w - - 0 33	194	53	117	36	61	11	18
coda	neutral	4q1k1/8/3Qp1pP/8/6P1/6K1/8/8 b - - 0 58	-18	31	-14	18	17	17	22
coda	neutral	6k1/p7/1pn1p3/2pp1n1B/5B2/P2P3P/2P2P2/6K1 b - - 0 27	91	90	-10	24	55	35	50
coda	neutral	5b2/8/pk6/8/2P1rrKP/6P1/PP6/3R4 w - - 0 35	-615	65	14	20	-4	8	0
coda	neutral	r1b2rk1/3nq1pp/1ppbp3/3p1p2/p1PPn3/1P1NPN2/PB2BPPP/2RQ1RK1 b - - 3 11	-27	5	2	1	2	15	-2
coda	neutral	r1b2rk1/pp1nppbp/1qn3p1/2pp4/3P1B2/2P1PN1P/PPQ1BPP1/RN1R2K1 b - - 5 7	-52	-68	-82	-82	-84	-113	-87
coda	neutral	4rrk1/pp2q1bp/2pp2p1/1P3b2/2P3n1/PR4P1/4NPBP/2BQ1RK1 w - - 5 17	54	189	47	0	11	24	13
coda	neutral	R7/6bp/6p1/2p1k1B1/N6P/r2n2P1/5P2/6K1 w - - 13 38	-79	-69	-7	4	-37	-10	-15
coda	neutral	r2qkbnr/p1pn1ppp/2b1p3/1p1p4/3N1P2/2NPP2P/PPP1Q1P1/R1B1KB1R b KQkq - 1 4	-66	47	-54	-21	-23	-15	-9
coda	neutral	r1b2rk1/ppp2pb1/2n3pp/6q1/2BPp3/2N1P3/PP1N1PPP/R2QK2R w KQ - 1 9	36	118	96	44	76	71	82
coda	neutral	r1bqr1k1/1pp2pb1/3pn1pp/pN2p3/1nP1P3/3PBNPP/PPQ2PB1/R3R1K1 w - - 7 12	-59	-65	20	-34	-32	-56	-46
coda	neutral	r1r3k1/1b4pp/1p1bqn2/pBppNp2/P2PnP2/1P2PN2/1BR1Q1PP/5RK1 b - - 7 15	12	2	-48	-15	3	-11	-17
coda	neutral	r2qkb1r/2pn1ppp/bp1p1n2/p3p3/P3PP2/N1PP1N2/1P2B1PP/R1BQK2R b KQkq - 2 4	-79	-80	-53	-43	-49	-27	-41
coda	neutral	r7/3k1ppp/2R1p3/1p1n4/7P/1P3NP1/2P1KP2/8 w - - 3 32	68	65	69	72	31	64	14
coda	neutral	5rk1/1p2qp2/1bb1pnp1/r1ppNnNp/3P1P2/2PBP1P1/PB2Q2P/4RRK1 w - - 6 16	3	-133	-101	-111	-113	-80	-87
coda	neutral	6k1/8/R5p1/5b1p/1P3P2/6P1/1r3BKP/8 w - - 1 36	63	37	41	51	40	33	48
coda	neutral	8/7p/1p3rk1/p2pRN2/3B4/PP6/6KP/3r4 w - - 15 55	360	227	0	0	0	0	0
coda	neutral	8/6b1/6k1/7P/2p5/7P/2K5/2B5 b - - 0 43	8	11	12	7	0	0	0
coda	neutral	r3k2r/1ppbb1q1/p2pp3/3n2pp/P2PB3/2P4P/1P1NQPPB/R4RK1 b kq - 5 15	-107	-6	42	85	68	40	0
coda	neutral	r1b1kbnr/ppp1n1p1/3q3p/1P2ppB1/4P2P/P1N2N2/2P2PP1/R2QKB1R w KQkq - 0 8	279	153	83	128	129	106	169
