coda	15000	r2q1rk1/p2b2b1/1p5n/1P1Np1pp/2PpPp2/P2P4/1B2B1PP/R3QRK1 w - - 0 14	122
coda	15000	5b2/7k/1P2b2n/4p2p/2PpPppq/3P4/1Q2B1PP/5RK1 w - - 3 25	264
coda	15000	1Q6/5n1k/4b3/4p2p/3pPppq/3P4/6PP/3B1RK1 w - - 1 30	110
coda	15000	8/5nk1/8/4p1qp/3pPpp1/3P4/2Q3PP/5RK1 w - - 3 33	117
coda	15000	r3k1nr/p1pqbp1p/bpn1p1p1/8/4N3/2PP1NP1/PP2QPBP/R1B1K2R w KQkq - 6 8	47
coda	15000	1r1b4/5pk1/1P1pq1p1/3Np3/2PpP3/1R3Q2/5P2/6K1 b - - 3 33	41
coda	15000	r2qr1k1/pp1b1ppp/5n2/3pn3/8/1P3PP1/PBPQ3P/2KR1BNR w - - 2 11	167
coda	15000	r1bqk1r1/1p2bp1p/2p2B2/3n1N2/2N1p3/pP2P3/P1P1BPPP/R2Q1RK1 b q - 0 11	55
coda	15000	rnbq1rk1/1p2ppbp/p1p3p1/8/2PPRB1N/1P4P1/5PBP/2RQ2K1 w - - 1 14	90
coda	15000	2rq1rk1/3pb1pp/4p3/1p3p2/8/1PR3P1/PB2PPKP/3Q1R2 w - - 0 16	49
coda	15000	2r4r/k2b1p2/p3p1p1/p1npP2p/3N1P2/PPN2RP1/2P4P/1K1R4 w - - 1 20	121
coda	15000	5r1k/1p2n1bp/p1q5/2pp1n2/P3rP2/1PPR1BP1/2N3QK/2B2R2 b - - 10 26	64
coda	15000	r1bqkb1r/1pp1p1pp/p1n2n2/3p1pB1/3P4/2N1P2P/PPP2PP1/R2QKBNR w KQkq - 1 2	84
coda	15000	8/4k3/8/4K3/8/2rB3R/8/8 w - - 49 195	35
coda	15000	r7/q4pk1/b3p1pn/3pP2p/p1p2PPN/PrP2B1P/1PR4K/3Q2R1 b - - 0 27	27
coda	15000	r4rk1/2q2pp1/1p2pn2/p3Pn1P/2NPB2P/4P2Q/1P5K/R1B2R2 b - - 0 18	190
coda	15000	2r2rk1/5pp1/1p2p2P/p3P3/3P3P/4P2Q/1q6/R4R1K b - - 0 24	-41
coda	15000	2r2rk1/5pp1/1p2p2P/p3P3/3PPR1P/2Q5/8/R6K b - - 0 29	-47
coda	15000	8/5pk1/b6r/5p2/P3p3/2NpP1P1/3K3P/7R b - - 2 44	84
coda	15000	3R4/1br5/6k1/4K3/4p2P/3pP3/8/3N4 b - - 9 67	46
coda	15000	5k2/8/3rn1p1/R5P1/3p1PK1/3B4/8/8 w - - 9 66	96
coda	15000	k2r1b1r/p4R1p/6p1/1p1p4/3N2p1/P1P5/1P5P/1K1R4 b - - 3 20	23
coda	15000	rn1qk2r/1bp1bpp1/1p1ppn1p/pP6/3P1B2/P1P1PN2/5PPP/RN1QKB1R w KQkq - 0 5	-11
coda	15000	2kr1b1r/1bpnq3/1p1pp2p/pP3pp1/2PP4/P2BP2P/2QN1PPB/R4RK1 w - - 1 13	0
coda	15000	r3brk1/2q1b3/2pnnp2/1p2p1p1/4P1Pp/1P1R1Q1P/2P1NPB1/2BR1NK1 w - - 1 27	-91
coda	15000	r2bbrk1/1n6/q4p2/1p2pNp1/1P4Pp/5Q1P/2P2PB1/2BR2K1 w - - 6 35	-108
coda	15000	r1bq1rk1/pp1nppbp/2p3p1/3p4/P1PPn3/1P2PN2/4BPPP/RNBQ1RK1 w - - 1 5	92
coda	15000	rn3bnr/4kppp/p3p3/1q3P2/3P4/3Q1NP1/PPP4P/R1B1K2R w KQ - 1 11	117
coda	15000	2r2rk1/1q4pp/4Q3/2b2p2/8/p7/P4PPP/B1R2RK1 b - - 0 23	67
coda	15000	3r4/pb3kbp/1p3pp1/2p3n1/P1N5/1P1N4/1BP2PPP/4R1K1 w - - 2 19	36
coda	15000	r2q1rk1/pp1b1p2/6pp/n1P5/4pNP1/4P3/Pb1NBP1P/R2QR1K1 w - - 0 17	69
coda	15000	rr2b1k1/5pb1/3p2pp/qpn5/3pPN1P/P2P2P1/3N1PB1/1RQ1R1K1 w - - 0 27	-61
coda	15000	rnr1q1k1/2p2pbp/bp2pnp1/p1PpN3/N2P4/PP2P3/1BQ1BPPP/2R2RK1 w - - 3 12	81
coda	15000	rnr1q1k1/2p2pbp/1pPnp1p1/p2pN3/N2P4/PP2PP2/1B2Q1PP/2R2RK1 w - - 1 15	59
coda	15000	r2nr1k1/2p2qbp/1p2p1N1/p3Pp2/3P4/PP5Q/1B2N1RP/6K1 w - - 20 34	130
coda	15000	r1bqkb1r/1pp3pp/2n1pp2/p2p1n2/P4P2/1PN2NPB/1BPPP2P/R2QK2R b KQkq - 1 4	-11
coda	15000	r1qr2k1/pp2bpp1/2n1pn1p/2pp1b2/P4B2/1QPPPN1P/1P1NBPP1/R4RK1 b - - 0 8	50
