host,cpu,arch,engine,isa,mode,evals_per_sec
jupiter,"ARM Cortex-A55",aarch64,coda,native,fresh,134213
jupiter,"ARM Cortex-A55",aarch64,coda,native,refresh,166959
jupiter,"ARM Cortex-A55",aarch64,coda,native,incremental,365319
jupiter,"ARM Cortex-A55",aarch64,coda,native,make-unmake,5382950
jupiter,"ARM Cortex-A55",aarch64,reckless,native,fresh,175067
jupiter,"ARM Cortex-A55",aarch64,reckless,native,incremental,570077
jupiter,"ARM Cortex-A55",aarch64,reckless,native,make-unmake,1708825
jupiter,"ARM Cortex-A55",aarch64,reckless,native,make-unmake-null,2133949
