host,cpu,arch,engine,isa,mode,evals_per_sec
atlas,"AMD EPYC 7351P 16-Core Processor",x86_64,coda,native,fresh,149642
atlas,"AMD EPYC 7351P 16-Core Processor",x86_64,coda,native,refresh,294134
atlas,"AMD EPYC 7351P 16-Core Processor",x86_64,coda,native,incremental,586579
atlas,"AMD EPYC 7351P 16-Core Processor",x86_64,coda,native,make-unmake,6969631
atlas,"AMD EPYC 7351P 16-Core Processor",x86_64,reckless,native,fresh,
atlas,"AMD EPYC 7351P 16-Core Processor",x86_64,reckless,native,incremental,
atlas,"AMD EPYC 7351P 16-Core Processor",x86_64,reckless,native,make-unmake,
atlas,"AMD EPYC 7351P 16-Core Processor",x86_64,reckless,native,make-unmake-null,
